StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q4.1,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q7.1,Q7.2,Q7.3_2,Q7.3_3,Q7.3_4,Q7.3_5,Q8.1,Q8.2_1,Q8.2_2,Q8.3_1,Q8.3_2,Q8.4_1,Q8.4_2,Q8.5_1,Q8.5_2,Q8.6_1,Q8.6_2,Q8.7_1,Q8.7_2,Q8.8_1,Q8.8_2,Q8.9_1,Q8.9_2,Q8.10_1,Q8.10_2,Q8.11,Q8.12,Q8.13,Q8.14,Q8.15,Q8.15_6_TEXT,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q9.1_5,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q10.1,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7,Q10.8,Q10.8_4_TEXT,Q10.9,Q10.10,Q10.11,Q10.11_10_TEXT,Q10.12,Q76_4,Q76_5,Q76_6,Q76_7,Q76_8,Q76_9,Q76_10,aid
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,"Para ver la encuesta en español, use el menú en la esquina superior derecha.

你也可以通过右上角的下拉菜单选择用中文完成问卷。





Information and Consent



The following survey asks multiple choice questions about some financial preferences as well as your personal experiences living in New York City during the pandemic. You will be asked several questions with various options where you decide which you prefer. There are no right or wrong answers to these questions, just pick whichever option(s) you prefer. Afterwards, you will be asked about ten more questions about your background and living arrangements during the pandemic. These are broad questions that do not allow you to be identified personally. The information we collect from you will only be used for the purposes of academic research and there are no anticipated risks for participation.



The entire survey should take 15 to 20 minutes. For those eligible to receive a $10 gift certificate based on zip code, you will have the opportunity to provide contact information at the end of the survey. Otherwise, you will not be contacted after. If you have any questions or concerns, please contact Dr Sen Pei at sp3449@cumc.columbia.edu.
 

By participating, you confirm the following:


	you a current resident of New York City
	you were a resident of New York City from March to December 2020       
	you are at least 18 years of age
	you consent to participate in the study
	you consent to your data being used for the research described above
	you understand that your participation is completely anonymous
	you understand that you may stop at any time.",Please select which zip code/neighborhood you primarily RESIDE in (it should be the same as where you resided in March 2020).,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,"If you had to pay for something, which option would you prefer?","If you had to pay for something, which option would you prefer?","If you had to pay for something, which option would you prefer?","If you had to pay for something, which option would you prefer?","If you had to pay for something, which option would you prefer?",Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which would you prefer?,Which option would you prefer?,"If you were paid an extra $1,000 this month, how would you spend the extra money? The total must equal 1,000. - Existing debts, bills","If you were paid an extra $1,000 this month, how would you spend the extra money? The total must equal 1,000. - Shopping, social activities, fun, travel/vacation","If you were paid an extra $1,000 this month, how would you spend the extra money? The total must equal 1,000. - Savings","If you were paid an extra $1,000 this month, how would you spend the extra money? The total must equal 1,000. - Investments","In the following section, you will be asked two questions about a series of public and private services. The first question will ask if something was available to you in 2020, specifically from March through December 2020. The second will ask if you could realistically have used it. For example, if buses were available near your home, but they were too slow to use for work, you can agree strongly with the first part and disagree strongly with the second.
First, please select which best describes your situation in March-December 2020.","During the pandemic in 2020, the subway and/or the bus were transportation options that were... - ...available close to me.","During the pandemic in 2020, the subway and/or the bus were transportation options that were... - ...realistic for me to use when I needed to.","During the pandemic in 2020, ride-sharing apps (like Uber, Lyft, Via) were... - ...available to me.","During the pandemic in 2020, ride-sharing apps (like Uber, Lyft, Via) were... - ...practical and affordable to use when I needed to.","During the pandemic in 2020, food delivery services such as InstaCart or UberEats were... - ...available to me.","During the pandemic in 2020, food delivery services such as InstaCart or UberEats were... - ...practical and affordable to use when I needed to.","During the pandemic in 2020, budget-friendly grocery stores were... - ...available to me.","During the pandemic in 2020, budget-friendly grocery stores were... - ...realistic for me to use when I needed to.","During the pandemic in 2020, pharmacies where I could get medicine whenever I needed to were... - ...available to me.","During the pandemic in 2020, pharmacies where I could get medicine whenever I needed to were... - ...realistic for me to use if I needed to.","During the pandemic in 2020, doctors and other healthcare services were... - ...available to me.","During the pandemic in 2020, doctors and other healthcare services were... - ...realistic for me to use when I needed to.","During the pandemic in 2020, If I needed to avoid going out, shopping for things online was... - ...available to me.","During the pandemic in 2020, If I needed to avoid going out, shopping for things online was... - ...realistic and affordable to use when I needed to.","During the pandemic in 2020, physically going in to work or school without being in crowds was... - ...an option for me.","During the pandemic in 2020, physically going in to work or school without being in crowds was... - ...realistic for me to do when I needed to.","During the pandemic in 2020, working or attending school remotely from home was... - ...an option for me.","During the pandemic in 2020, working or attending school remotely from home was... - ...easy for me to do when I needed to.","During the pandemic in 2020, outdoor social activities close to home that did not involve crowds...",Did you have COVID at any point in 2020?,"When you had COVID/were sick in 2020, which best describes your ability to stay isolated (including at home)? Reminder: This survey is anonymous and you will not be contacted about your responses.","If you had gotten COVID in 2020, how many days do you think you would have been able to be completely isolated (including at home)? Reminder: This survey is anonymous and you will not be contacted about your responses.",What were the main reasons it was not possible to isolate in 2020? (Select all that apply) - Selected Choice,What were the main reasons it was not possible to isolate in 2020? (Select all that apply) - Other - Text,"During each of the time periods, how often did you wear a mask when you left the home? Check as many boxes as apply to you. - March 2020 (the start of the pandemic, before guidelines were clear, NYC cases rising rapidly)","During each of the time periods, how often did you wear a mask when you left the home? Check as many boxes as apply to you. - Spring 2020 (during the full lockdown, before reopening, NYC rates dropping but high number of cases still)","During each of the time periods, how often did you wear a mask when you left the home? Check as many boxes as apply to you. - Summer 2020 (first phase of reopening, mostly outdoor activities, NYC cases drop and remain low)","During each of the time periods, how often did you wear a mask when you left the home? Check as many boxes as apply to you. - Fall 2020 (indoor dining reopens, NYC cases rise slightly but overall low)","During each of the time periods, how often did you wear a mask when you left the home? Check as many boxes as apply to you. - Winter 2020-21 (NYC cases rise heavily, indoor dining stopped)","During each of the time periods, how often did you do indoor activities, like dining in restaurants or attending social events? - March 2020 (the start of the pandemic, before guidelines were clear, NYC cases rising rapidly)","During each of the time periods, how often did you do indoor activities, like dining in restaurants or attending social events? - Spring 2020 (during the full lockdown, before reopening, NYC rates dropping but high number of cases still)","During each of the time periods, how often did you do indoor activities, like dining in restaurants or attending social events? - Summer 2020 (first phase of reopening, mostly outdoor activities, NYC cases drop and remain low)","During each of the time periods, how often did you do indoor activities, like dining in restaurants or attending social events? - Fall 2020 (indoor dining reopens, NYC cases rise slightly but overall low)","During each of the time periods, how often did you do indoor activities, like dining in restaurants or attending social events? - Winter 2020-21 (NYC cases rise, indoor dining stopped)",What is your expectation for how things will be for you financially one year from now?,"During the pandemic in 2020, how would you describe your home internet access?",Which best describes your financial situation during March-December 2020?,Which best describes your current financial situation?,"Overall, and considering the global pandemic, how did your financial situation change during 2020?","In a typical month so far this year (2023), what is your usual credit/debt situation? Do not include mortgage or auto payments.",What year were you born?,Which do you identify as? - Selected Choice,Which do you identify as? - I prefer to use: - Text,What is your highest level of education completed?,Which most accurately describes you at the start of the pandemic in March 2020?,Please choose which best describe you. You may wish to select more than one. - Selected Choice,Please choose which best describe you. You may wish to select more than one. - I prefer to use: - Text,"Please select the zip code/neighborhood where you primarily WORK OR ATTEND SCHOOL. If you are not sure of the exact zip code, selecting one for the neighborhood is sufficient.","We now need to get your contact details in order to send you the $10 gift certificate. Remember that this is only provided for eligible participants based on zip code and your mailing address must match the information you provided earlier. If you do not wish to receive the $10, simply click the button below to finish the survey. - Full name","We now need to get your contact details in order to send you the $10 gift certificate. Remember that this is only provided for eligible participants based on zip code and your mailing address must match the information you provided earlier. If you do not wish to receive the $10, simply click the button below to finish the survey. - Street address 1","We now need to get your contact details in order to send you the $10 gift certificate. Remember that this is only provided for eligible participants based on zip code and your mailing address must match the information you provided earlier. If you do not wish to receive the $10, simply click the button below to finish the survey. - Street address 2","We now need to get your contact details in order to send you the $10 gift certificate. Remember that this is only provided for eligible participants based on zip code and your mailing address must match the information you provided earlier. If you do not wish to receive the $10, simply click the button below to finish the survey. - City","We now need to get your contact details in order to send you the $10 gift certificate. Remember that this is only provided for eligible participants based on zip code and your mailing address must match the information you provided earlier. If you do not wish to receive the $10, simply click the button below to finish the survey. - State","We now need to get your contact details in order to send you the $10 gift certificate. Remember that this is only provided for eligible participants based on zip code and your mailing address must match the information you provided earlier. If you do not wish to receive the $10, simply click the button below to finish the survey. - Zip code","We now need to get your contact details in order to send you the $10 gift certificate. Remember that this is only provided for eligible participants based on zip code and your mailing address must match the information you provided earlier. If you do not wish to receive the $10, simply click the button below to finish the survey. - Email",aid
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID45""}","{""ImportId"":""QID120""}","{""ImportId"":""QID85""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID115""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID106""}","{""ImportId"":""QID84""}","{""ImportId"":""QID75_2""}","{""ImportId"":""QID75_3""}","{""ImportId"":""QID75_4""}","{""ImportId"":""QID75_5""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129_1""}","{""ImportId"":""QID129_4""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID134_4""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID130_4""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID136_4""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID131_4""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID135_4""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID139_4""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID143_4""}","{""ImportId"":""QID153_1""}","{""ImportId"":""QID153_4""}","{""ImportId"":""QID142""}","{""ImportId"":""QID145""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID147""}","{""ImportId"":""QID147_6_TEXT""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID140_2""}","{""ImportId"":""QID140_3""}","{""ImportId"":""QID140_4""}","{""ImportId"":""QID140_5""}","{""ImportId"":""QID144_1""}","{""ImportId"":""QID144_2""}","{""ImportId"":""QID144_3""}","{""ImportId"":""QID144_4""}","{""ImportId"":""QID144_5""}","{""ImportId"":""QID77""}","{""ImportId"":""QID148""}","{""ImportId"":""QID150""}","{""ImportId"":""QID11""}","{""ImportId"":""QID108""}","{""ImportId"":""QID29""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_3_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID109""}","{""ImportId"":""QID60""}","{""ImportId"":""QID60_12_TEXT""}","{""ImportId"":""QID121""}","{""ImportId"":""QID157_4""}","{""ImportId"":""QID157_5""}","{""ImportId"":""QID157_6""}","{""ImportId"":""QID157_7""}","{""ImportId"":""QID157_8""}","{""ImportId"":""QID157_9""}","{""ImportId"":""QID157_10""}","{""ImportId"":""aid""}"
11/22/2022 8:43,11/22/2022 8:50,IP Address,100,378,TRUE,11/22/2022 8:50,R_3CKphd7v4L4nZVw,,,,,anonymous,EN,CONSENT,10034 Washington Heights (Manhattan),Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,PASS,Receiving $5500 in 12 months,,,Receiving $5000 right now,,,,,,,,Receiving $600 in 24 months (2 years),Guaranteed $50,0,0,800,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Things will be somewhat better,,,I can pay off my bills and save a small amount,There were no major impacts on my financial situation,I pay off any balances every month,1988,Man,,Doctoral degree,Employed full-time (25+ hours per week),Asian,,10032 Washington Heights (Manhattan),,,,,,,,
2/28/2023 22:53,2/28/2023 23:01,IP Address,100,460,TRUE,2/28/2023 23:01,R_zczgBPG9N3bxntn,,,,,anonymous,EN,CONSENT,10034 Washington Heights (Manhattan),Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,PASS,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",Receiving $500 in 12 months (1 year),Guaranteed $50,0,0,1000,0,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,Things will be about the same,,,I can pay off my bills and save a small amount,My financial situation became somewhat worse,I pay off any balances every month,1988,Man,,Doctoral degree,Employed full-time (25+ hours per week),"Asian,Immigrant",,10032 Washington Heights (Manhattan),,,,,,,,
2/28/2023 8:33,2/28/2023 8:33,IP Address,26,32,FALSE,3/7/2023 8:33,R_UY340I2clf19bK9,,,,,anonymous,EN,CONSENT,,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $510 in 12 months,,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2023 9:46,3/28/2023 10:09,IP Address,100,1368,TRUE,3/28/2023 10:09,R_26a3XAqQyCoTWSv,,,,,anonymous,EN,CONSENT,10025 Upper West Side (Manhattan),Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,PASS,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",Receiving $550 in 24 months (2 years),A 50% chance of $100 (50% chance of $0),0,0,1000,0,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,,,No,,I would have had to go out on multiple occasions even if other people were out,I lived with other people in a home where it was not possible to isolate,,I always wore it when I left home,I always wore it when I left home,"When most people were masking,Indoors,When places were crowded","When most people were masking,Indoors,When places were crowded",I always wore it when I left home,Never,Never,Once or twice a month,Once or twice a month,"Rarely, when it could not be avoided",Things will be about the same,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",There were no major impacts on my financial situation,I pay off any balances every month,1988,Man,,Doctoral degree,Employed full-time (25+ hours per week),Asian,,10032 Washington Heights (Manhattan),,,,,,,,
6/29/2023 17:12,6/30/2023 19:04,IP Address,100,93110,TRUE,6/30/2023 19:04,R_25ylc9Zk4J7fjQB,,,,,anonymous,EN,CONSENT,11436 Jamaica (Queens),Receiving $500 right now,Receiving $500 right now,Receiving $750 in 12 months,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,PASS,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",Receiving $500 in 12 months (1 year),Guaranteed $50,700,300,0,0,1,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No,,10,"I lived with other people in a home where it was not possible to isolate,Delivery services were too expensive",,I never wore a mask when I left home,I always wore it when I left home,I always wore it when I left home,"Indoors,When places were crowded",I always wore it when I left home,Weekly,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",Things will be much better,I always had access through my provider,I paid off my bills but was not able to save,I have to take on a lot of debt to pay my bills,There were no major impacts on my financial situation,I never purchase anything on credit or take on debt,2001,Prefer not to answer,,Graduate (Masters or equivalent),Click to write Choice 7,"Black or African-American,Pacific Islander,Immigrant",,10009 Union Square - Lower East Side (Manhattan),,,,,,,,
7/17/2023 8:38,7/17/2023 9:34,IP Address,100,3382,TRUE,7/17/2023 9:34,R_3QFf6ZOqZOmtYEv,,,,,anonymous,EN,CONSENT,10001 Chelsea - Clinton (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,PASS,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",Receiving $500 in 12 months (1 year),Guaranteed $50,0,0,0,1000,My work or school was entirely remote from March through December 2020,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,...were available near me and I attended occasionally (1-2 times per month).,Yes,I stayed at home but had some contact with those I live with,,Other people were in my home for some of the time,,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",Things will be much worse,I always had access through my provider,I was unable to pay all of my bills,I am unable to pay all of my bills,My financial situation became much worse,My debts increase beyond what I earn in a given month,2002,Man,,Primary school,Employed full-time (25+ hours per week),Arab/Middle Eastern,,10001 Chelsea - Clinton (Manhattan),,,,,,,,
7/17/2023 9:37,7/17/2023 9:44,IP Address,100,430,TRUE,7/17/2023 9:45,R_3qCqhAXSRjN4vhV,,,,,anonymous,EN,CONSENT,10014 Greenwich Village - SoHo (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,PASS,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",Receiving $500 in 12 months (1 year),Guaranteed $50,1000,0,0,0,My work or school was entirely in-person from March through December 2020,Strongly disagree,,Disagree,,Disagree,Disagree,,Agree,Disagree,Disagree,,Disagree,,Agree,,,,,...were available near me and I attended weekly.,,,,Delivery services were too expensive,,,"When most people were masking,Indoors,When places were crowded",Indoors,,,,Weekly,,Weekly,,Things will be about the same,I had to use a hotspot to access the internet,I had to take on some debt to pay my bills,I have to take on some debt to pay my bills,There were no major impacts on my financial situation,My debts increase beyond what I earn in a given month,1997,Woman,,College or university (Bachelor or equivalent),Not in paid employment (by choice),White,,,,,,,,,,
7/17/2023 9:45,7/17/2023 9:45,IP Address,100,24,TRUE,7/17/2023 9:45,R_1Kw042TkTrPa8oE,,,,,anonymous,EN,CONSENT,10016 Gramercy Park - Murray Hill (Manhattan),Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
