"","ResponseId","zipcode","Gain550","Gain600","Gain750","Gain510","Gain505","Pay550","Pay600","Pay750","Pay510","Pay505","Gain5500","Gain6000","Gain7500","Gain5100","Gain5050","Common_difference","loss_gain_1","loss_loss_1","loss_gain_2","loss_loss_2","loss_gain_3","loss_loss_3","alloc_debt","alloc_spend","alloc_save","alloc_invest","work_situation","agency_pub_trans_avail","agency_pub_trans_realistic","agency_uber_avail","agency_uber_realistic","agency_delivery_avail","agency_delivery_realistic","agency_grocery_avail","agency_grocery_realistic","agency_pharma_avail","agency_pharma_realistic","agency_docs_avail","agency_docs_realistic","agency_online_avail","agency_online_realistic","agency_IP_safe_avail","agency_IP_safe_realistic","agency_remote_avail","agency_remote_realistic","no_crowds","covid","covid_isolate_reality","covid_isolate_imagine","covid_no_isolate","covid_no_isolate_text","mask_march2020","mask_spring2020","mask_summer2020","mask_fall2020","mask_winter2020","indoor_march2020","indoor_spring2020","indoor_summer2020","indoor_fall2020","indoor_winter2020","expectation","internet_access","bills_2020","bills_current","financial_2020","situation_debt","Gender","EducationCompleted","Employment","Ethnic","Ethnic_text","work_zipcode","Age","Risk_preference"
"1","R_3CKphd7v4L4nZVw","10034 Washington Heights (Manhattan)","Receiving $500 right now","Receiving $600 in 12 months",NA,NA,NA,"Paying $500 right now",NA,NA,"Paying $510 in 12 months",NA,"Receiving $5500 in 12 months",NA,NA,"Receiving $5000 right now",NA,"Receiving $600 in 24 months (2 years)",NA,NA,NA,NA,NA,NA,"0","0","800","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Things will be somewhat better",NA,NA,"I can pay off my bills and save a small amount","There were no major impacts on my financial situation","I pay off any balances every month","Male","Doctoral degree","Employed full-time (25+ hours per week)","Asian",NA,"10032 Washington Heights (Manhattan)",35,0
"2","R_zczgBPG9N3bxntn","10034 Washington Heights (Manhattan)","Receiving $550 in 12 months",NA,NA,"Receiving $510 in 12 months","Receiving $500 right now","Paying $500 right now",NA,NA,"Paying $500 right now","Paying $505 in 12 months","Receiving $5500 in 12 months",NA,NA,"Receiving $5100 in 12 months","Receiving $5000 right now","Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","0","1000","0","1","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Things will be about the same",NA,NA,"I can pay off my bills and save a small amount","My financial situation became somewhat worse","I pay off any balances every month","Male","Doctoral degree","Employed full-time (25+ hours per week)","Asian,Immigrant",NA,"10032 Washington Heights (Manhattan)",35,0
"3","R_3qCqhAXSRjN4vhV","10014 Greenwich Village - SoHo (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000","1000","0","0","0","My work or school was entirely in-person from March through December 2020","Strongly disagree",NA,"Disagree",NA,"Disagree","Disagree",NA,"Agree","Disagree","Disagree",NA,"Disagree",NA,"Agree",NA,NA,NA,NA,"...were available near me and I attended weekly.",NA,NA,NA,"Delivery services were too expensive",NA,NA,"When most people were masking,Indoors,When places were crowded","Indoors",NA,NA,NA,"Weekly",NA,"Weekly",NA,"Things will be about the same","I had to use a hotspot to access the internet","I had to take on some debt to pay my bills","I have to take on some debt to pay my bills","There were no major impacts on my financial situation","My debts increase beyond what I earn in a given month","Female","College or university (Bachelor or equivalent)","Not in paid employment (by choice)","White",NA,NA,26,0
"4","R_3KBbU5hptLMCoA4","10013 Greenwich Village - SoHo (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 90% chance of losing $4,500","1000","0","0","0","My work or school was entirely remote from March through December 2020","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"...were available near me and I attended multiple times each week.","No",NA,"I would have had to go out on multiple occasions even if other people were out","Delivery services were too expensive,Other people were in my home for some of the time",NA,NA,NA,NA,"Indoors",NA,NA,"Weekly",NA,NA,NA,"Things will be somewhat worse","I only had internet access on my phone","I paid off my bills and saved a small amount","I can pay off my bills but am not able to save","My financial situation became somewhat worse","I make the minimum payment and the interest is charged","Female","College or university (Bachelor or equivalent)","Not in paid employment (unable to work due to health/personal reasons)","Hispanic",NA,NA,29,0
"5","R_3J9rOKUFchdlmDf","10011 Chelsea - Clinton (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500","1000","0","0","0","My work or school was entirely remote from March through December 2020","Agree","Agree","Disagree","Agree","Agree","Strongly disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Strongly agree",NA,NA,NA,NA,"...were available near me and I attended occasionally (1-2 times per month).","Yes","I had to go out on multiple occasions when other people were out",NA,"Delivery services were too expensive,It was not possible for me to remain at home due to work/family/care/personal obligations",NA,"When places were crowded","I always wore it when I left home","Indoors","When places were crowded","When places were crowded","Weekly","Multiple times each week","Multiple times each week","Multiple times each week","Multiple times each week","Things will be about the same","I had to use a hotspot to access the internet","I paid off my bills but was not able to save","I can pay off my bills but am not able to save","My financial situation became much better","I pay off much of the balance","Other","College or university (Bachelor or equivalent)",NA,NA,NA,NA,26,0
"6","R_3hGzVfxA3AkocFb","10002 Union Square - Lower East Side (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500","200","200","200","400","My work or school was entirely remote from March through December 2020","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,NA,NA,NA,"...were something I considered but none were available near me.","Yes","I was able to remain completely isolated for the recommended time",NA,NA,NA,"Only in places that forced it","When most people were masking","Indoors","When places were crowded","I always wore it when I left home","Weekly","Multiple times each week","Multiple times each week","Multiple times each week","Multiple times each week","Things will be about the same","I had to find public spaces to access internet","I had to take on some debt to pay my bills","I have to take on some debt to pay my bills","There were no major impacts on my financial situation","I generally pay off the interest but not the balance","Male","College or university (Bachelor or equivalent)","Employed part-time (less than 25 hours per week)","White",NA,"10011 Chelsea - Clinton (Manhattan)",38,0
"7","R_1CdpUkNDE2g6PIY","10002 Union Square - Lower East Side (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $750 in 12 months",NA,NA,"Paying $550 in 12 months","Paying $500 right now",NA,NA,NA,"Receiving $5000 right now","Receiving $6000 in 12 months",NA,NA,NA,"Receiving $500 in 12 months (1 year)","An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500","400","100","100","400","My work or school was entirely remote from March through December 2020","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree",NA,NA,NA,NA,"...were never something I would have considered doing in 2020.","No",NA,"I could have stayed at home but would have had some contact with those I live with","I lived with other people in a home where it was not possible to isolate",NA,"Only in places that forced it","When most people were masking","Only in places that forced it","When most people were masking","Only in places that forced it","Once or twice a month","Weekly","Once or twice a month","Weekly","Once or twice a month","Things will be much better","I always had access through my provider","I had to take on a lot of debt to pay my bills","I have to take on a lot of debt to pay my bills","My financial situation became much better","My debts increase beyond what I earn in a given month","Female","Graduate (Masters or equivalent)","Employed full-time (25+ hours per week)","White",NA,"10002 Union Square - Lower East Side (Manhattan)",21,1
"8","R_1rwDCNriljtLP8m","10002 Union Square - Lower East Side (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $750 in 24 months (2 years)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500","200","200","300","300","I was not working or studying  from March through December 2020","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree",NA,NA,NA,NA,"...were never something I would have considered doing in 2020.","Yes","I was able to remain completely isolated for the recommended time",NA,NA,NA,"Indoors,When places were crowded","Only in places that forced it,When most people were masking","Only in places that forced it,When most people were masking","Only in places that forced it,When most people were masking","Only in places that forced it,When most people were masking","The same as before the pandemic","Weekly","Multiple times each week","The same as before the pandemic","Multiple times each week","Things will be much better","I always had access through my provider","I was unable to pay all of my bills","I am unable to pay all of my bills","My financial situation became much better","My debts increase beyond what I earn in a given month","Male","Doctoral degree","Employed full-time (25+ hours per week)","White",NA,"10002 Union Square - Lower East Side (Manhattan)",38,1
"9","R_2tncSn6qSA4p9dL","10002 Union Square - Lower East Side (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $550 in 12 months","Paying $600 in 12 months","Paying $750 in 12 months",NA,NA,"Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500","200","300","200","300","My work or school involved both remote and in-person from March through December 2020","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree",NA,NA,"...were available near me and I attended daily or almost daily.","I was sick but it was not a confirmed case of COVID","I stayed at home but had some contact with those I live with",NA,"I lived with other people in a home where it was not possible to isolate",NA,"I always wore it when I left home","When places were crowded","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","The same as before the pandemic","The same as before the pandemic","The same as before the pandemic","The same as before the pandemic","The same as before the pandemic","Things will be much better","I always had access through my provider","All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely","My financial situation became much better","I pay off any balances every month","Male","MBA","Employed full-time (25+ hours per week)","White",NA,"10002 Union Square - Lower East Side (Manhattan)",33,0
"10","R_xsc8lfOSGu0KPyF","10002 Union Square - Lower East Side (Manhattan)","Receiving $550 in 12 months",NA,NA,"Receiving $510 in 12 months","Receiving $500 right now","Paying $550 in 12 months","Paying $600 in 12 months","Paying $750 in 12 months",NA,NA,"Receiving $5000 right now","Receiving $6000 in 12 months",NA,NA,NA,"Receiving $510 in 24 months (2 years)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000","100","100","200","600","My work or school involved both remote and in-person from March through December 2020","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,NA,"...were available near me and I attended once.","Yes","I was able to remain completely isolated for the recommended time",NA,NA,NA,"I never left home in this period","When most people were masking","I never left home in this period","I never left home in this period","I never left home in this period","Weekly","Never","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Multiple times each week","Things will be much better","I had to use a hotspot to access the internet","I paid off my bills but was not able to save","I can pay off my bills but am not able to save","There were no major impacts on my financial situation","I generally pay off the interest but not the balance","Female","Graduate (Masters or equivalent)","Employed full-time (25+ hours per week)","White",NA,"10002 Union Square - Lower East Side (Manhattan)",36,1
