CASE_COUNT,DEATH_COUNT,week,borough_case_count,id,borough_death_count,borough
1,0,0,0,0,0,BX
45,0,1,5,1,0,BX
2931,8,2,344,2,1,BX
20475,224,3,3462,3,52,BX
30141,1516,4,6273,4,294,BX
36099,4271,5,8412,5,924,BX
34170,5422,6,8554,6,1093,BX
22962,4056,7,5777,7,854,BX
18273,2710,8,4477,8,556,BX
13107,1806,9,3124,9,371,BX
7889,1084,10,1720,10,205,BX
6678,693,11,1643,11,148,BX
6001,463,12,1301,12,99,BX
4114,336,13,965,13,73,BX
3134,263,14,725,14,59,BX
2377,207,15,475,15,54,BX
2269,131,16,449,16,23,BX
2186,118,17,447,17,22,BX
2198,85,18,369,18,17,BX
2509,60,19,502,19,16,BX
2541,76,20,547,20,14,BX
1974,56,21,442,21,13,BX
1773,39,22,376,22,11,BX
1669,29,23,376,23,4,BX
1739,31,24,412,24,9,BX
1638,29,25,353,25,6,BX
1761,35,26,370,26,14,BX
1745,27,27,272,27,6,BX
2064,21,28,323,28,7,BX
2501,32,29,365,29,7,BX
3334,29,30,423,30,7,BX
3710,42,31,429,31,6,BX
3523,27,32,485,32,5,BX
3571,46,33,511,33,8,BX
3989,39,34,671,34,3,BX
4399,50,35,712,35,4,BX
6778,77,36,1129,36,14,BX
9598,69,37,1601,37,12,BX
11383,72,38,2085,38,10,BX
13609,99,39,2340,39,16,BX
18736,166,40,3248,40,22,BX
19978,198,41,3353,41,33,BX
20307,253,42,3275,42,38,BX
22689,313,43,3758,43,44,BX
27975,331,44,5085,44,59,BX
36098,453,45,6638,45,77,BX
32856,480,46,6225,46,62,BX
30740,562,47,6105,47,82,BX
29889,592,48,5956,48,96,BX
22497,571,49,4763,49,108,BX
22761,590,50,4953,50,111,BX
19856,509,51,3946,51,119,BX
21331,531,52,4291,52,96,BX
1,0,0,0,53,0,BK
45,0,1,12,54,0,BK
2931,8,2,915,55,1,BK
20475,224,3,6137,56,57,BK
30141,1516,4,8185,57,449,BK
36099,4271,5,9970,58,1346,BK
34170,5422,6,8511,59,1764,BK
22962,4056,7,6043,60,1232,BK
18273,2710,8,4885,61,805,BK
13107,1806,9,3604,62,521,BK
7889,1084,10,2397,63,331,BK
6678,693,11,2066,64,212,BK
6001,463,12,1906,65,141,BK
4114,336,13,1279,66,93,BK
3134,263,14,927,67,75,BK
2377,207,15,667,68,62,BK
2269,131,16,654,69,34,BK
2186,118,17,609,70,34,BK
2198,85,18,650,71,25,BK
2509,60,19,708,72,19,BK
2541,76,20,678,73,19,BK
1974,56,21,489,74,17,BK
1773,39,22,532,75,12,BK
1669,29,23,513,76,6,BK
1739,31,24,519,77,9,BK
1638,29,25,453,78,9,BK
1761,35,26,563,79,6,BK
1745,27,27,595,80,11,BK
2064,21,28,724,81,7,BK
2501,32,29,982,82,10,BK
3334,29,30,1489,83,10,BK
3710,42,31,1636,84,17,BK
3523,27,32,1442,85,10,BK
3571,46,33,1327,86,17,BK
3989,39,34,1310,87,19,BK
4399,50,35,1421,88,26,BK
6778,77,36,1966,89,37,BK
9598,69,37,2480,90,25,BK
11383,72,38,3076,91,21,BK
13609,99,39,3624,92,27,BK
18736,166,40,5385,93,40,BK
19978,198,41,5822,94,53,BK
20307,253,42,6223,95,77,BK
22689,313,43,6907,96,89,BK
27975,331,44,7936,97,120,BK
36098,453,45,10377,98,143,BK
32856,480,46,9842,99,153,BK
30740,562,47,8937,100,201,BK
29889,592,48,8971,101,184,BK
22497,571,49,6805,102,183,BK
22761,590,50,6610,103,185,BK
19856,509,51,5894,104,160,BK
21331,531,52,6540,105,165,BK
1,0,0,1,106,0,MN
45,0,1,12,107,0,MN
2931,8,2,810,108,3,MN
20475,224,3,3486,109,36,MN
30141,1516,4,3811,110,213,MN
36099,4271,5,4055,111,527,MN
34170,5422,6,3481,112,672,MN
22962,4056,7,2310,113,504,MN
18273,2710,8,2185,114,383,MN
13107,1806,9,1608,115,245,MN
7889,1084,10,1009,116,152,MN
6678,693,11,896,117,106,MN
6001,463,12,871,118,59,MN
4114,336,13,537,119,59,MN
3134,263,14,419,120,36,MN
2377,207,15,371,121,23,MN
2269,131,16,370,122,21,MN
2186,118,17,399,123,22,MN
2198,85,18,448,124,15,MN
2509,60,19,506,125,7,MN
2541,76,20,487,126,15,MN
1974,56,21,380,127,6,MN
1773,39,22,338,128,5,MN
1669,29,23,284,129,8,MN
1739,31,24,275,130,5,MN
1638,29,25,299,131,4,MN
1761,35,26,313,132,7,MN
1745,27,27,269,133,3,MN
2064,21,28,361,134,0,MN
