Unnamed: 0,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio,FIPS,ZCTA,MODZCTA,ZCTA_str,zip_tai,Tai_idx,mods,mod_idx
0,36005000200,10473,BRONX,NY,1.0,1.0,1.0,1.0,36005,10473,10473,10473,10473.0,14,10473,14
1,36005000400,10473,BRONX,NY,1.0,0.95,0.953488372,0.997761612,36005,10473,10473,10473,10473.0,14,10473,14
3,36005001600,10473,BRONX,NY,1.0,1.0,1.0,1.0,36005,10473,10473,10473,10473.0,14,10473,14
5,36005001900,10454,BRONX,NY,1.0,0.989293362,1.0,0.997802198,36005,10454,10454,10454,10454.0,21,10454,21
6,36005002000,10473,BRONX,NY,1.0,1.0,1.0,1.0,36005,10473,10473,10473,10473.0,14,10473,14
7,36005002300,10454,BRONX,NY,1.0,1.0,1.0,1.0,36005,10454,10454,10454,10454.0,21,10454,21
8,36005002400,10473,BRONX,NY,1.0,0.0,1.0,1.0,36005,10473,10473,10473,10473.0,14,10473,14
9,36005002500,10454,BRONX,NY,1.0,1.0,1.0,1.0,36005,10454,10454,10454,10454.0,21,10454,21
10,36005002701,10454,BRONX,NY,1.0,1.0,1.0,1.0,36005,10454,10454,10454,10454.0,21,10454,21
11,36005002702,10454,BRONX,NY,1.0,1.0,1.0,1.0,36005,10454,10454,10454,10454.0,21,10454,21
12,36005002800,10473,BRONX,NY,1.0,1.0,1.0,1.0,36005,10473,10473,10473,10473.0,14,10473,14
14,36005003100,10455,BRONX,NY,1.0,0.956043956,1.0,0.996812749,36005,10455,10455,10455,10455.0,22,10455,22
15,36005003300,10454,BRONX,NY,1.0,1.0,1.0,1.0,36005,10454,10454,10454,10454.0,21,10454,21
16,36005003500,10455,BRONX,NY,0.967399545,0.797468354,0.983471074,0.959842001,36005,10455,10455,10455,10455.0,22,10455,22
18,36005003700,10455,BRONX,NY,1.0,1.0,1.0,1.0,36005,10455,10455,10455,10455.0,22,10455,22
19,36005003800,10473,BRONX,NY,1.0,1.0,1.0,1.0,36005,10473,10473,10473,10473.0,14,10473,14
20,36005003900,10454,BRONX,NY,1.0,1.0,1.0,1.0,36005,10454,10454,10454,10454.0,21,10454,21
21,36005004001,10472,BRONX,NY,1.0,1.0,1.0,1.0,36005,10472,10472,10472,10472.0,13,10472,13
22,36005004100,10454,BRONX,NY,1.0,1.0,1.0,1.0,36005,10454,10454,10454,10454.0,21,10454,21
23,36005004200,10473,BRONX,NY,1.0,1.0,1.0,1.0,36005,10473,10473,10473,10473.0,14,10473,14
25,36005004300,10455,BRONX,NY,0.733224888,0.920560748,0.846511628,0.755540166,36005,10455,10455,10455,10455.0,22,10455,22
