ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,TRACT,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
10473,10473,10473,10473,10473 Pelham - Throgs Neck (Bronx),66,66,14,36005000200,10473,1,1,1,1
10473,10473,10473,10473,10473 Pelham - Throgs Neck (Bronx),66,66,14,36005000400,10473,1,0.95,0.941176471,0.997782705
10473,10473,10473,10473,10473 Pelham - Throgs Neck (Bronx),66,66,14,36005001600,10473,1,1,1,1
10454,10454,10454,10454,10454 Hunts Point - Mott Haven (Bronx),1,1,21,36005001900,10454,1,0.98951782,1,0.997787611
10473,10473,10473,10473,10473 Pelham - Throgs Neck (Bronx),66,66,14,36005002000,10473,1,1,1,1
10454,10454,10454,10454,10454 Hunts Point - Mott Haven (Bronx),1,1,21,36005002300,10454,1,1,1,1
10473,10473,10473,10473,10473 Pelham - Throgs Neck (Bronx),66,66,14,36005002400,10473,1,0,0,1
10454,10454,10454,10454,10454 Hunts Point - Mott Haven (Bronx),1,1,21,36005002500,10454,1,1,1,1
10454,10454,10454,10454,10454 Hunts Point - Mott Haven (Bronx),1,1,21,36005002701,10454,1,1,1,1
10454,10454,10454,10454,10454 Hunts Point - Mott Haven (Bronx),1,1,21,36005002702,10454,1,1,1,1
10473,10473,10473,10473,10473 Pelham - Throgs Neck (Bronx),66,66,14,36005002800,10473,1,1,1,1
10455,10455,10455,10455,10455 Hunts Point - Mott Haven (Bronx),3,3,22,36005003100,10455,1,0.957446809,1,0.996840442
10454,10454,10454,10454,10454 Hunts Point - Mott Haven (Bronx),1,1,21,36005003300,10454,1,1,1,1
10455,10455,10455,10455,10455 Hunts Point - Mott Haven (Bronx),3,3,22,36005003500,10455,0.968997837,0.802469136,0.979381443,0.961022364
10455,10455,10455,10455,10455 Hunts Point - Mott Haven (Bronx),3,3,22,36005003700,10455,1,1,1,1
10473,10473,10473,10473,10473 Pelham - Throgs Neck (Bronx),66,66,14,36005003800,10473,1,1,1,1
10454,10454,10454,10454,10454 Hunts Point - Mott Haven (Bronx),1,1,21,36005003900,10454,1,1,1,1
10472,10472,10472,10472,10472 Pelham - Throgs Neck (Bronx),2,2,13,36005004001,10472,1,1,1,1
10454,10454,10454,10454,10454 Hunts Point - Mott Haven (Bronx),1,1,21,36005004100,10454,1,1,1,1
10473,10473,10473,10473,10473 Pelham - Throgs Neck (Bronx),66,66,14,36005004200,10473,1,1,1,1
10455,10455,10455,10455,10455 Hunts Point - Mott Haven (Bronx),3,3,22,36005004300,10455,0.730706076,0.91943128,0.84057971,0.752627891
