ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061005600,10001,NEW YORK,NY,0.101292455665764,0.118466898954703,0.00790513833992094,0.100465313028764
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061005800,10001,NEW YORK,NY,0.252433702584759,0.320441988950276,0.396396396396396,0.292929292929292
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061007100,10001,NEW YORK,NY,0.0,0.408771929824561,0.0818619582664526,0.0833870967741935
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061007600,10001,NEW YORK,NY,1.0,0.897337278106508,0.970588235294117,0.944376152427781
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061008400,10001,NEW YORK,NY,0.0184601530841963,0.0576813249571673,0.137254901960784,0.043010752688172
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061009100,10001,NEW YORK,NY,0.37563025210084,0.629139072847682,0.43520782396088,0.422582717635721
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061009300,10001,NEW YORK,NY,0.238817285822592,0.125373134328358,0.184491978609625,0.230832420591456
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061009500,10001,NEW YORK,NY,1.0,1.0,1.0,1.0
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061009700,10001,NEW YORK,NY,1.0,0.814285714285714,0.978873239436619,0.994636272209185
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061009900,10001,NEW YORK,NY,0.512878133102852,0.708002883922134,0.576441102756892,0.551974640073966
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061010100,10001,NEW YORK,NY,1.0,0.934264585045193,0.967213114754098,0.967838444278234
10001.0,10001.0,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84.0,36061010300,10001,NEW YORK,NY,0.477728520160439,0.402298850574712,0.963800904977375,0.484900480439258
