"GEOID","Population","Black","Hispanic","Householdincome","Bachelor","Households_num","Ageunder5","Age5to9","Age10to14","Age15to24","Age25to44","Age45to64","Age65to74","Age75plus","No_vehicle","health_insurance","mean_householdsize"
"36001000100",2029,1141,217,45268,135,769,239,88,106,437,425,454,196,84,93,2016,2.61
"36001000201",3263,2230,152,37500,447,1382,79,170,213,895,933,769,146,58,440,3263,2.22666666666667
"36001000202",2153,1968,64,25290,83,913,253,225,192,264,540,541,21,117,414,2143,2.08
"36001000301",3016,1116,978,36964,43,1135,157,64,422,568,678,898,141,88,576,3016,2.655
"36001000302",2931,469,65,42266,300,1585,276,18,57,455,876,654,251,344,255,2900,1.84
"36001000401",2336,234,77,76500,460,938,33,38,4,199,407,593,244,818,122,1915,1.89
"36001000403",4014,458,233,77193,1093,2119,128,79,164,515,1165,1339,397,227,243,4014,1.885
"36001000404",5045,1035,966,NA,14,0,0,0,0,5006,24,2,3,10,0,5014,0
"36001000501",3410,1229,712,29579,300,1494,243,182,224,647,1014,647,245,208,707,3340,2.3425
"36001000502",3926,738,476,56838,307,956,30,49,70,2680,529,412,102,54,158,3812,2.185
"36001000600",3773,1232,286,25521,169,1483,115,384,229,1346,1039,574,51,35,597,3773,2.46333333333333
"36001000700",3611,2413,196,38992,204,1391,171,205,428,572,798,811,354,272,555,3423,2.6725
"36001000800",2102,1496,281,23708,122,845,136,263,234,331,449,420,222,47,560,2102,2.32
"36001001100",1751,624,161,40972,143,979,51,63,35,178,608,490,242,84,447,1751,1.47
"36001001400",4288,656,303,51970,1175,2871,38,129,38,701,2048,795,361,178,952,4273,1.49
"36001001500",4621,1112,350,22500,429,2268,206,214,80,1799,1335,661,166,160,637,4608,2.2325
"36001001600",4156,584,332,54742,658,1789,190,165,140,1454,1312,641,193,61,248,4119,2.0825
"36001001700",4041,575,121,70345,646,1857,203,217,142,538,1278,994,367,302,265,3929,2.15666666666667
"36001001802",3937,433,102,64420,921,1945,194,205,133,354,1315,841,464,431,157,3937,2.03
"36001001803",3544,90,97,94564,635,1861,122,195,98,109,1019,848,753,400,132,3544,1.89333333333333
"36001001804",3537,535,272,85297,836,1754,99,111,183,436,860,803,553,492,256,3492,1.93666666666667
"36001001901",2496,161,73,76277,535,1246,109,131,110,340,718,629,165,294,0,2475,1.975
"36001001902",2278,335,68,89000,339,978,70,46,129,444,494,676,234,185,43,2278,2.33
"36001002000",6067,1755,1443,47511,599,2313,966,584,117,1010,1773,1162,263,192,439,6013,2.588
"36001002100",3174,386,480,41020,394,1074,96,145,64,1159,1149,348,135,78,303,3006,2.03333333333333
"36001002200",2657,611,202,36723,568,1453,209,50,63,516,861,691,172,95,364,2657,1.785
"36001002300",1712,896,100,45179,401,1122,59,11,123,156,730,422,112,99,479,1712,1.435
"36001002500",3063,2057,513,28029,250,1456,373,258,225,384,1015,620,110,78,813,3063,2.0825
"36001002600",3929,1532,500,52589,397,1638,285,237,214,346,1371,835,500,141,496,3929,2.3425
"36001012700",3207,230,73,59089,344,1499,183,127,202,600,1104,651,209,131,156,3207,2.16666666666667
