ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,RESTAURANT_COUNT,GROCERY_COUNT,EDUCATION_COUNT,ENTERTAINMENT_COUNT,HEALTHCARE_COUNT,RETAIL_COUNT,OTHER_COUNT,GROCERY_VISIT_PERCENT,HOUSEHOLD_SIZE,HOUSEHOLD_INCOME,BLACK,HISPANIC,AGE65_PLUS,BACHELOR_S,COVID_CASE_COUNT,COVID_CASE_RATE,COVID_DEATH_COUNT,COVID_DEATH_RATE,NO_HEALTH_INSURANCE
11436,0,Jamaica,18706,22699295.46,NY,Queens,36,81,40,19,5,6,11,24,143,0.061,3.4,72962,11560,2686,2506,1962,640,3193.21,47,234.5,0.092371632
11213,0,Brooklyn,66025,29631004.44,NY,Kings,36,47,201,61,49,27,123,170,809,0.072,2.5,48318,43233,7912,8880,8803,1871,2896.23,152,235.29,0.063846699
11212,0,Brooklyn,68117,41972104.07,NY,Kings,36,47,178,78,53,31,222,184,637,0.057,2.18,29385,57275,13314,10617,6090,2337,3159.52,236,319.06,0.071794375
11225,0,Brooklyn,55863,23698630.12,NY,Kings,36,47,245,67,42,30,123,142,724,0.053,2.31,65200,33538,5580,8347,10644,1474,2562.87,143,248.64,0.083732033
11218,0,Brooklyn,72540,36868798.99,NY,Kings,36,47,288,97,48,39,150,256,970,0.095,2.88,78249,6706,10630,9004,11913,2310,3121.79,140,189.2,0.082450573
11226,0,Brooklyn,95389,39408598.28,NY,Kings,36,47,380,122,52,36,242,314,1231,0.037,2.54,60896,64136,15360,11284,13601,2845,2922.29,307,315.34,0.063365489
11219,0,Brooklyn,86738,42002738.47,NY,Kings,36,47,245,86,84,24,630,411,1546,0.071,3.63,41907,1295,10882,10386,6359,4026,4469.23,248,275.3,0.045011307
11210,0,Brooklyn,62029,47887022.99,NY,Kings,36,47,160,40,49,27,217,184,862,0.053,2.84,70776,35240,4744,9740,9160,2449,3728.29,154,234.45,0.064071769
11230,0,Brooklyn,86477,49926703.39,NY,Kings,36,47,262,87,70,22,336,305,1002,0.063,2.77,57770,6282,9950,14270,13820,3771,4242.36,242,272.25,0.065948497
11204,0,Brooklyn,75716,43555184.61,NY,Kings,36,47,216,87,60,31,226,251,939,0.067,3.22,54984,808,9042,11002,9477,2893,3752.88,154,199.77,0.047849246
10471,0,Bronx,19183,89651407.06,NY,Bronx,36,5,57,6,21,27,74,32,189,0.064,2.2,93657,2215,5659,6384,3918,937,4411.27,90,423.71,0.037055886
10470,0,Bronx,15272,21543461.58,NY,Bronx,36,5,52,14,7,3,15,46,235,0.055,2.51,64643,5929,3028,2518,2854,537,3581.96,22,146.75,0.078066914
10466,0,Bronx,73646,55262490.61,NY,Bronx,36,5,142,49,35,15,99,113,623,0.093,2.94,58405,52297,18621,10717,6961,2799,3925.11,176,246.81,0.091835182
10467,0,Bronx,98456,69336166.37,NY,Bronx,36,5,257,93,50,28,257,192,793,0.08,2.61,40639,34448,52678,11284,8172,4186,4101.57,340,333.14,0.099186369
10463,0,Bronx,67793,36703381.51,NY,Bronx,36,5,239,8,7,2,15,12,60,0.094,2.3,60397,12085,36633,14201,10009,2520,3600.83,221,315.79,0.05531443
10475,0,Bronx,42334,38633296.93,NY,Bronx,36,5,71,14,17,9,95,146,263,0.079,2.27,53819,27837,13124,10900,5632,1984,4642.32,179,418.84,0.054287854
10464,0,Bronx,4306,76257484.9,NY,Bronx,36,5,1,5,3,14,6,18,42,0.193,2.3,101935,21,1591,891,908,141,3290.24,9,210.02,0.0382794
10469,0,Bronx,69907,68040887.07,NY,Bronx,36,5,138,37,38,18,172,123,528,0.084,3.05,67190,41335,20352,13304,8460,3453,4755.09,377,519.16,0.077894826
10468,0,Bronx,77078,34447604.67,NY,Bronx,36,5,176,80,57,27,116,151,538,0.071,2.86,37777,19295,61285,9070,5010,3451,4435.08,226,290.45,0.120563536
10463,0,Bronx,67793,3119701.913,NY,New York,36,61,15,8,7,2,15,12,60,0.094,2.3,60397,12085,36633,14201,10009,2520,3600.83,221,315.79,0.05531443
10458,0,Bronx,82367,35968812.9,NY,Bronx,36,5,309,97,50,30,172,247,673,0.07,2.87,37886,16270,61674,7436,4465,2788,3369.57,135,163.16,0.11668623
10034,0,New York,41895,24503892.12,NY,New York,36,61,200,50,27,20,101,108,462,0.096,2.66,63556,5837,29248,5386,6600,1015,2402.83,72,170.45,0.091365059
10033,0,New York,57771,16156054.17,NY,New York,36,61,199,56,28,36,151,199,585,0.11,2.93,66902,5118,39008,7385,9680,1763,3012.76,123,210.19,0.080560523
10462,0,Bronx,75019,53022513.78,NY,Bronx,36,5,267,88,39,36,229,198,709,0.064,2.59,57266,20486,35057,9846,8915,2856,3792.03,187,248.29,0.085256789
10040,0,New York,43858,16340742.8,NY,New York,36,61,125,43,25,23,76,82,346,0.126,2.72,53199,4055,31425,8117,7297,1459,3318.45,121,275.21,0.080752556
10453,0,Bronx,77101,25748509.27,NY,Bronx,36,5,169,86,44,28,89,106,388,0.084,2.81,31778,25681,54353,6993,5303,3076,3909.63,170,216.07,0.100021038
