"Q1.2","Q10.12","zipcodeflag"
"10034 Washington Heights (Manhattan)","10032 Washington Heights (Manhattan)",0
"10034 Washington Heights (Manhattan)","10032 Washington Heights (Manhattan)",0
"10025 Upper West Side (Manhattan)","10032 Washington Heights (Manhattan)",0
"11436 Jamaica (Queens)","10009 Union Square - Lower East Side (Manhattan)",0
"10014 Greenwich Village - SoHo (Manhattan)",NA,NA
"10013 Greenwich Village - SoHo (Manhattan)",NA,NA
"10012 Greenwich Village - SoHo (Manhattan)","10009 Union Square - Lower East Side (Manhattan)",0
"10002 Union Square - Lower East Side (Manhattan)","10011 Chelsea - Clinton (Manhattan)",0
"10014 Greenwich Village - SoHo (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10002 Union Square - Lower East Side (Manhattan)",NA,NA
"10007 Lower Manhattan (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10002 Union Square - Lower East Side (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"10001 Chelsea - Clinton (Manhattan)",NA,NA
"10002 Union Square - Lower East Side (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"10011 Chelsea - Clinton (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11234 Canarsie - Flatlands (Brooklyn)","11229 Coney Island - Sheepshead Bay (Brooklyn)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11209 Bensonhurst - Bay Ridge (Brooklyn)","10038 Lower Manhattan (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)","11236 Canarsie - Flatlands (Brooklyn)",0
"10011 Chelsea - Clinton (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)","11209 Bensonhurst - Bay Ridge (Brooklyn)",0
"11234 Canarsie - Flatlands (Brooklyn)","11236 Canarsie - Flatlands (Brooklyn)",0
"11234 Canarsie - Flatlands (Brooklyn)","Click to write Choice 3",0
"10025 Upper West Side (Manhattan)","10016 Gramercy Park - Murray Hill (Manhattan)",0
"10003 Union Square - Lower East Side (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10002 Union Square - Lower East Side (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10002 Union Square - Lower East Side (Manhattan)",NA,NA
"10001 Chelsea - Clinton (Manhattan)","10011 Chelsea - Clinton (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)","11235 Coney Island - Sheepshead Bay (Brooklyn)",0
"10006 Lower Manhattan (Manhattan)",NA,NA
"10007 Lower Manhattan (Manhattan)","10004 Lower Manhattan (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"10029 East Harlem (Manhattan)","10039 Washington Heights (Manhattan)",0
"10025 Upper West Side (Manhattan)",NA,NA
"10002 Union Square - Lower East Side (Manhattan)","10017 Gramercy Park - Murray Hill (Manhattan)",0
"10029 East Harlem (Manhattan)",NA,NA
"10029 East Harlem (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"11433 Jamaica (Queens)",NA,NA
"10025 Upper West Side (Manhattan)","10016 Gramercy Park - Murray Hill (Manhattan)",0
"10029 East Harlem (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"11433 Jamaica (Queens)",NA,NA
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"11207 East New York (Brooklyn)","10002 Union Square - Lower East Side (Manhattan)",0
"10007 Lower Manhattan (Manhattan)","10035 East Harlem (Manhattan)",0
"10029 East Harlem (Manhattan)",NA,NA
"10004 Lower Manhattan (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10453 Crotona -Tremont (Bronx)",NA,NA
"10004 Lower Manhattan (Manhattan)","10006 Lower Manhattan (Manhattan)",0
"10002 Union Square - Lower East Side (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"11220 Sunset Park (Brooklyn)",NA,NA
"10025 Upper West Side (Manhattan)","10026 Central Harlem - Morningside Heights (Manhattan)",0
"11375 Ridgewood - Forest Hills (Queens)","10035 East Harlem (Manhattan)",0
"10466 Northeast Bronx (Bronx)","10473 Pelham - Throgs Neck (Bronx)",0
"10012 Greenwich Village - SoHo (Manhattan)","10004 Lower Manhattan (Manhattan)",0
"11206 Williamsburg - Bushwick (Brooklyn)",NA,NA
"10002 Union Square - Lower East Side (Manhattan)","11220 Sunset Park (Brooklyn)",0
"11223 Coney Island - Sheepshead Bay (Brooklyn)","11236 Canarsie - Flatlands (Brooklyn)",0
"10453 Crotona -Tremont (Bronx)","Outside New York City (nowhere in the five boroughs)",0
"11375 Ridgewood - Forest Hills (Queens)",NA,NA
"10314 Willowbrook (Staten Island)","10002 Union Square - Lower East Side (Manhattan)",0
"10025 Upper West Side (Manhattan)",NA,NA
"10025 Upper West Side (Manhattan)",NA,NA
"11101 Long Island City - Astoria (Queens)","11359 Flushing - Clearview (Queens)",0
"11375 Ridgewood - Forest Hills (Queens)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","11210 East Flatbush - Flatbush (Brooklyn)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11210 East Flatbush - Flatbush (Brooklyn)",0
"10025 Upper West Side (Manhattan)","10004 Lower Manhattan (Manhattan)",0
"11433 Jamaica (Queens)","11379 Ridgewood - Forest Hills (Queens)",0
"10025 Upper West Side (Manhattan)","10024 Upper West Side (Manhattan)",0
"10302 Port Richmond (Staten Island)",NA,NA
"10002 Union Square - Lower East Side (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"10453 Crotona -Tremont (Bronx)","10003 Union Square - Lower East Side (Manhattan)",0
"10021 Upper East Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)","10475 Northeast Bronx (Bronx)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"10029 East Harlem (Manhattan)",NA,NA
"10473 Pelham - Throgs Neck (Bronx)","10458 Fordham - Bronx Pk (Bronx)",0
"11375 Ridgewood - Forest Hills (Queens)",NA,NA
"10025 Upper West Side (Manhattan)","10022 Gramercy Park - Murray Hill (Manhattan)",0
"11375 Ridgewood - Forest Hills (Queens)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11433 Jamaica (Queens)","11104 Long Island City - Astoria (Queens)",0
"10029 East Harlem (Manhattan)",NA,NA
"10002 Union Square - Lower East Side (Manhattan)","Click to write Choice 3",0
"10025 Upper West Side (Manhattan)",NA,NA
"10002 Union Square - Lower East Side (Manhattan)","10036 Chelsea - Clinton (Manhattan)",0
"11206 Williamsburg - Bushwick (Brooklyn)","11368 Flushing - Clearview (Queens)",0
"10025 Upper West Side (Manhattan)","10006 Lower Manhattan (Manhattan)",0
"11220 Sunset Park (Brooklyn)","11209 Bensonhurst - Bay Ridge (Brooklyn)",0
"11206 Williamsburg - Bushwick (Brooklyn)","11224 Coney Island - Sheepshead Bay (Brooklyn)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10031 Washington Heights (Manhattan)",0
"10453 Crotona -Tremont (Bronx)",NA,NA
"10009 Union Square - Lower East Side (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
