CASE_COUNT,DEATH_COUNT,week,borough_case_count,id,borough_death_count
1,0,0,0,0,0
45,0,1,5,1,0
2931,8,2,344,2,1
20475,224,3,3462,3,52
30141,1516,4,6273,4,294
36099,4271,5,8412,5,924
34170,5422,6,8554,6,1093
22962,4056,7,5777,7,854
18273,2710,8,4477,8,556
13107,1806,9,3124,9,371
7889,1084,10,1720,10,205
6678,693,11,1643,11,148
6001,463,12,1301,12,99
4114,336,13,965,13,73
3134,263,14,725,14,59
2377,207,15,475,15,54
2269,131,16,449,16,23
2186,118,17,447,17,22
2198,85,18,369,18,17
2509,60,19,502,19,16
2541,76,20,547,20,14
1974,56,21,442,21,13
1773,39,22,376,22,11
1669,29,23,376,23,4
1739,31,24,412,24,9
1638,29,25,353,25,6
1761,35,26,370,26,14
1745,27,27,272,27,6
2064,21,28,323,28,7
2501,32,29,365,29,7
3334,29,30,423,30,7
3710,42,31,429,31,6
3523,27,32,485,32,5
3571,46,33,511,33,8
3989,39,34,671,34,3
4399,50,35,712,35,4
6778,77,36,1129,36,14
9598,69,37,1601,37,12
11383,72,38,2085,38,10
13609,99,39,2340,39,16
18736,166,40,3248,40,22
19978,198,41,3353,41,33
20307,253,42,3275,42,38
22689,313,43,3758,43,44
27975,331,44,5085,44,59
36098,453,45,6638,45,77
32856,480,46,6225,46,62
30740,562,47,6105,47,82
29889,592,48,5956,48,96
22497,571,49,4763,49,108
22761,590,50,4953,50,111
1,0,0,0,51,0
45,0,1,12,52,0
2931,8,2,915,53,1
20475,224,3,6137,54,57
30141,1516,4,8185,55,449
36099,4271,5,9970,56,1346
34170,5422,6,8511,57,1764
22962,4056,7,6043,58,1232
18273,2710,8,4885,59,805
13107,1806,9,3604,60,521
7889,1084,10,2397,61,331
6678,693,11,2066,62,212
6001,463,12,1906,63,141
4114,336,13,1279,64,93
3134,263,14,927,65,75
2377,207,15,667,66,62
2269,131,16,654,67,34
2186,118,17,609,68,34
2198,85,18,650,69,25
2509,60,19,708,70,19
2541,76,20,678,71,19
1974,56,21,489,72,17
1773,39,22,532,73,12
1669,29,23,513,74,6
1739,31,24,519,75,9
1638,29,25,453,76,9
1761,35,26,563,77,6
1745,27,27,595,78,11
2064,21,28,724,79,7
2501,32,29,982,80,10
3334,29,30,1489,81,10
3710,42,31,1636,82,17
3523,27,32,1442,83,10
3571,46,33,1327,84,17
3989,39,34,1310,85,19
4399,50,35,1421,86,26
6778,77,36,1966,87,37
9598,69,37,2480,88,25
11383,72,38,3076,89,21
13609,99,39,3624,90,27
18736,166,40,5385,91,40
19978,198,41,5822,92,53
20307,253,42,6223,93,77
22689,313,43,6907,94,89
27975,331,44,7936,95,120
36098,453,45,10377,96,143
32856,480,46,9842,97,153
30740,562,47,8937,98,201
29889,592,48,8971,99,184
22497,571,49,6805,100,183
22761,590,50,6610,101,185
1,0,0,1,102,0
45,0,1,12,103,0
2931,8,2,810,104,3
20475,224,3,3486,105,36
30141,1516,4,3811,106,213
36099,4271,5,4055,107,527
34170,5422,6,3481,108,672
22962,4056,7,2310,109,504
18273,2710,8,2185,110,383
13107,1806,9,1608,111,245
7889,1084,10,1009,112,152
6678,693,11,896,113,106
6001,463,12,871,114,59
4114,336,13,537,115,59
3134,263,14,419,116,36
2377,207,15,371,117,23
2269,131,16,370,118,21
2186,118,17,399,119,22
2198,85,18,448,120,15
2509,60,19,506,121,7
2541,76,20,487,122,15
1974,56,21,380,123,6
1773,39,22,338,124,5
1669,29,23,284,125,8
1739,31,24,275,126,5
1638,29,25,299,127,4
1761,35,26,313,128,7
1745,27,27,269,129,3
2064,21,28,361,130,0
2501,32,29,453,131,4
3334,29,30,484,132,9
3710,42,31,530,133,1
3523,27,32,466,134,3
3571,46,33,552,135,7
3989,39,34,644,136,5
4399,50,35,719,137,6
6778,77,36,1173,138,5
9598,69,37,1725,139,11
11383,72,38,1986,140,9
13609,99,39,2319,141,17
18736,166,40,2760,142,21
19978,198,41,2943,143,25
20307,253,42,2989,144,31
22689,313,43,2999,145,55
27975,331,44,3427,146,34
36098,453,45,4959,147,57
32856,480,46,4463,148,54
30740,562,47,4394,149,70
29889,592,48,4439,150,93
22497,571,49,3285,151,78
22761,590,50,3260,152,94
1,0,0,0,153,0
45,0,1,13,154,0
2931,8,2,745,155,3
20475,224,3,5906,156,60
30141,1516,4,9647,157,489
36099,4271,5,11378,158,1302
34170,5422,6,10538,159,1658
22962,4056,7,7263,160,1286
18273,2710,8,5708,161,855
13107,1806,9,4107,162,576
7889,1084,10,2385,163,342
6678,693,11,1836,164,193
6001,463,12,1625,165,134
4114,336,13,1132,166,98
3134,263,14,893,167,81
2377,207,15,772,168,60
2269,131,16,693,169,45
2186,118,17,615,170,33
2198,85,18,591,171,20
2509,60,19,651,172,16
2541,76,20,660,173,27
1974,56,21,503,174,19
1773,39,22,425,175,9
1669,29,23,412,176,11
1739,31,24,431,177,6
1638,29,25,439,178,8
1761,35,26,406,179,7
1745,27,27,464,180,6
2064,21,28,508,181,7
2501,32,29,556,182,10
3334,29,30,736,183,2
3710,42,31,888,184,15
3523,27,32,912,185,8
3571,46,33,912,186,10
3989,39,34,1053,187,8
4399,50,35,1080,188,10
6778,77,36,1757,189,17
9598,69,37,2675,190,12
11383,72,38,2898,191,20
13609,99,39,3644,192,19
18736,166,40,5089,193,49
19978,198,41,5869,194,53
20307,253,42,5820,195,69
22689,313,43,6790,196,84
27975,331,44,8498,197,78
36098,453,45,10769,198,134
32856,480,46,9731,199,178
30740,562,47,9130,200,162
29889,592,48,8700,201,181
22497,571,49,6332,202,169
22761,590,50,6439,203,169
1,0,0,0,204,0
45,0,1,3,205,0
2931,8,2,117,206,0
20475,224,3,1482,207,19
30141,1516,4,2225,208,71
36099,4271,5,2281,209,172
34170,5422,6,3085,210,235
22962,4056,7,1569,211,180
18273,2710,8,1017,212,111
13107,1806,9,664,213,93
7889,1084,10,378,214,54
6678,693,11,237,215,34
6001,463,12,298,216,30
4114,336,13,201,217,13
3134,263,14,170,218,12
2377,207,15,92,219,8
2269,131,16,103,220,8
2186,118,17,116,221,7
2198,85,18,140,222,8
2509,60,19,142,223,2
2541,76,20,169,224,1
1974,56,21,160,225,1
1773,39,22,102,226,2
1669,29,23,84,227,0
1739,31,24,102,228,2
1638,29,25,94,229,2
1761,35,26,109,230,1
1745,27,27,143,231,1
2064,21,28,148,232,0
2501,32,29,145,233,1
3334,29,30,202,234,1
3710,42,31,226,235,3
3523,27,32,217,236,1
3571,46,33,265,237,4
3989,39,34,311,238,4
4399,50,35,465,239,4
6778,77,36,753,240,4
9598,69,37,1117,241,9
11383,72,38,1337,242,12
13609,99,39,1682,243,20
18736,166,40,2254,244,34
19978,198,41,1988,245,34
20307,253,42,1999,246,38
22689,313,43,2234,247,41
27975,331,44,3027,248,40
36098,453,45,3347,249,42
32856,480,46,2588,250,33
30740,562,47,2172,251,47
29889,592,48,1816,252,38
22497,571,49,1312,253,33
22761,590,50,1494,254,31
