2017 NAICS US Code,cluster_qing,name,,naics_code,cluster,,,,
4451,0,Glocery&Pharmacies,,4451 ,0,,0,,
4461,0,Glocery&Pharmacies,,4461 ,0,,0,,
446,0,Glocery&Pharmacies,,,,,,,
4411,1,Retails,,4411,0,,0,,
4412,1,Retails,,4412,0,,1,,
4413,1,Retails,,4413,0,,1,,
4421,1,Retails,,4421,0,,8,,
4422,1,Retails,,4422,0,,1,,
4431,1,Retails,,4431,0,,9,,
4441,1,Retails,,4441,0,,10,,
4442,1,Retails,,4442,0,,1,,
4452,1,Retails,,4452,0,,10,,
4453,1,Retails,,4453,0,,1,,
4471,1,Retails,,4471,0,,18,,
4481,1,Retails,,4481,0,,10,,
4482,1,Retails,,4482,0,,1,,
4492,1,Retails,,4483,0,,1,,
4483,1,Retails,,4511,0,,19,,
4511,1,Retails,,4512,0,,29,,
4512,1,Retails,,4522,0,,11,,
4522,1,Retails,,4531,0,,19,,
4523,1,Retails,,4532,0,,10,,
4531,1,Retails,,4533,0,,10,,
4532,1,Retails,,4539,0,,8,,
4533,1,Retails,,4523,0,,-9,,
4539,1,Retails,,,,,2578,,
4541,1,Retails,,2211,4,,2574,,
4542,1,Retails,,2381,4,,2590,,
4543,1,Retails,,2382,4,,2597,,
441,1,Retails,,2383,4,,2569,,
442,1,Retails,,2389,4,,6680,,
443,1,Retails,,3118,4,,6690,,
444,1,Retails,,3121,4,,6782,,
445,1,Retails,,3231,4,,6779,,
447,1,Retails,,3272,4,,6779,,
448,1,Retails,,3352,4,,5664,,
451,1,Retails,,3399,4,,5664,,
452,1,Retails,,4231,4,,5662,,
453,1,Retails,,4237,4,,5663,,
454,1,Retails,,4238,4,,5663,,
7111,2,Arts&Entertainment,,4239,4,,660,7111,1
7112,2,Arts&Entertainment,,4242,4,,-4900,7113,1
7113,2,Arts&Entertainment,,4821,4,,-4731,7131,1
7114,2,Arts&Entertainment,,4842,4,,-4731,7139,1
7115,2,Arts&Entertainment,,4853,4,,-4731,7112,1
7121,2,Arts&Entertainment,,4859,4,,-4726,7121,1
7131,2,Arts&Entertainment,,4881,4,,-4003,7132,1
7132,2,Arts&Entertainment,,4884,4,,-4010,7225,2
7139,2,Arts&Entertainment,,4885,4,,-3901,7223,2
