"","ResponseId","zipcode","loss_gain_1","loss_loss_1","loss_gain_2","loss_loss_2","loss_gain_3","loss_loss_3","alloc_debt","alloc_spend","alloc_save","alloc_invest","Age","Risk_preference","amount_later17","question","delay_sooner","delay_later","amount_sooner","amount_later","question_num","block","choice","choice_text","score","presbias","absolmag","gainloss"
"1","R_02o2D09NfVJOHD3","11375 Ridgewood - Forest Hills (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","300","500","200",51,0,1000,"Q1",0,12,500,550,1,"block1",0,"Receiving $500 right now",10,0,1,1
"2","R_02o2D09NfVJOHD3","11375 Ridgewood - Forest Hills (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","300","500","200",51,0,1000,"Q2",0,12,500,600,2,"block1",0,"Receiving $500 right now",10,0,1,1
"3","R_02o2D09NfVJOHD3","11375 Ridgewood - Forest Hills (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","300","500","200",51,0,1000,"Q3",0,12,500,750,3,"block1",0,"Receiving $500 right now",10,0,1,1
"4","R_02o2D09NfVJOHD3","11375 Ridgewood - Forest Hills (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","300","500","200",51,0,1000,"Q6",0,12,500,550,6,"block2",0,"Paying $500 right now",10,0,1,1
"5","R_02o2D09NfVJOHD3","11375 Ridgewood - Forest Hills (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","300","500","200",51,0,1000,"Q9",0,12,500,510,9,"block2",0,"Paying $500 right now",10,0,1,1
"6","R_02o2D09NfVJOHD3","11375 Ridgewood - Forest Hills (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","300","500","200",51,0,1000,"Q10",0,12,500,505,10,"block2",0,"Paying $500 right now",10,0,1,1
"7","R_02o2D09NfVJOHD3","11375 Ridgewood - Forest Hills (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","300","500","200",51,0,1000,"Q11",0,12,5000,5500,11,"block3",0,"Receiving $5000 right now",10,0,1,1
"8","R_02o2D09NfVJOHD3","11375 Ridgewood - Forest Hills (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","300","500","200",51,0,1000,"Q12",0,12,5000,6000,12,"block3",0,"Receiving $5000 right now",10,0,1,1
"9","R_02o2D09NfVJOHD3","11375 Ridgewood - Forest Hills (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","300","500","200",51,0,1000,"Q13",0,12,5000,7500,13,"block3",1,"Receiving $7500 in 12 months",10,0,1,1
"10","R_02o2D09NfVJOHD3","11375 Ridgewood - Forest Hills (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","300","500","200",51,0,1000,"Q16",12,24,500,750,16,"anom1",0,"Receiving $500 in 12 months (1 year)",10,0,1,1
"11","R_0cy5qgo5k6XgQ7f","11694 Rockaways (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","500","250","250",37,0,600,"Q1",0,12,500,550,1,"block1",1,"Receiving $550 in 12 months",6,1,0,0
"12","R_0cy5qgo5k6XgQ7f","11694 Rockaways (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","500","250","250",37,0,600,"Q4",0,12,500,510,4,"block1",0,"Receiving $500 right now",6,1,0,0
"13","R_0cy5qgo5k6XgQ7f","11694 Rockaways (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","500","250","250",37,0,600,"Q6",0,12,500,550,6,"block2",0,"Paying $500 right now",6,1,0,0
"14","R_0cy5qgo5k6XgQ7f","11694 Rockaways (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","500","250","250",37,0,600,"Q9",0,12,500,510,9,"block2",1,"Paying $510 in 12 months",6,1,0,0
"15","R_0cy5qgo5k6XgQ7f","11694 Rockaways (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","500","250","250",37,0,600,"Q11",0,12,5000,5500,11,"block3",1,"Receiving $5500 in 12 months",6,1,0,0
"16","R_0cy5qgo5k6XgQ7f","11694 Rockaways (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","500","250","250",37,0,600,"Q14",0,12,5000,5100,14,"block3",0,"Receiving $5000 right now",6,1,0,0
"17","R_0cy5qgo5k6XgQ7f","11694 Rockaways (Queens)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","0","500","250","250",37,0,600,"Q16",12,24,500,550,16,"anom1",1,"Receiving $550 in 24 months (2 years)",6,1,0,0
"18","R_0dLmGExTPQ2mAEh","10003 Union Square - Lower East Side (Manhattan)","An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","300","500","200","0",34,3,1000,"Q1",0,12,500,550,1,"block1",0,"Receiving $500 right now",11,0,0,1
"19","R_0dLmGExTPQ2mAEh","10003 Union Square - Lower East Side (Manhattan)","An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","300","500","200","0",34,3,1000,"Q2",0,12,500,600,2,"block1",0,"Receiving $500 right now",11,0,0,1
