"Variable","Mean","StdDev","Min","P25.25.","Median","P75.75.","Max"
"temporal discounting score",60.9848484848485,7.87903068778924,50,50,66.6666666666667,66.6666666666667,66.6666666666667
"loss aversion score",2.50352444396137,0.559768128732576,1.66485700114175,2.05958023529943,2.45283447310547,2.83148682840372,3.68285448722301
"agency score",89139.3698524362,53069.7378876075,29967.7231445643,54971.4976566212,69237.0215699354,99221.3423262852,237864.419763732
"stringency index",38.056511265054,3.29543160216919,32.9035364201241,35.2052747955444,38.6544893267306,40.8042110568403,44.6275782794301
"no health insurance rate",-2.30258509299405,0,-2.30258509299405,-2.30258509299405,-2.30258509299405,-2.30258509299405,-2.30258509299405
"no vehicle household rate",2.29384504223103,0.46797652761197,1.09861228866811,2.484906649788,2.484906649788,2.484906649788,2.56494935746154
"household size",19.44,0,19.44,19.44,19.44,19.44,19.44
"household income",6.64614260572034,4.69963178420396,2.06273452161778,3.16805932323043,5.23194718495751,8.36665242688606,19.6537537622019
"percent people own bachelor degrees",22.2800622981643,10.8810647032168,9.53290576283061,14.4212676788219,18.902462788595,24.510095753575,52.8502829336278
"weighted average age",39.520595181677,18.6208321726865,18.9008383455599,25.1427689462845,31.3644063404051,52.3268611923472,77.6392376778956
"percent Black residents",49.1253612863851,21.4255387301774,27.3187479486852,33.1757899353874,39.9089101860831,63.0461857762253,117.597187902619
"percent Hispanic residents",8.0702409753954,5.11282236696218,3.44686141431178,5.01750412824963,6.10517283712726,8.90686661201235,22.9260554291747
"week",1,0,1,1,1,1,1
