"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.84550798720785,0.999008485004074,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.38570782814883,0.912574005859955,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,2.68911944355723,0.993388466969386,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,2.48042223995372,0.955342535027093,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.24291564335527,0.80222238826877,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,2.67470876794412,0.992294644461512,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.43114690714001,0.935779258383349,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,1.72047505314572,0.163835597344251,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,2.17681975807995,0.731492788221063,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.159135592047,0.710684278779845,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,2.45148604504368,0.944516724799457,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.78459534422885,0.997808814422252,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.03375772804996,0.546821897434523,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.55186384331022,0.97507567081142,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.58819397332969,0.981968078938137,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.65670463523067,0.990714475729467,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.45223450137971,0.944819956339282,"Durbin-Watson test","true autocorrelation is greater than 0"
