"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.62861036537993,0.987703774832447,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.38223398397987,0.910578437673377,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,3.07484618781421,0.999976456630545,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,3.00462601460056,0.999914625933938,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.69557487764664,0.993833562265646,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,2.79685193450228,0.998121072261059,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.78315485477623,0.99776927874257,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,2.43694077949374,0.938367434555467,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,3.0969424767041,0.999984772010421,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.75194325221116,0.996744508231152,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,3.05375745379849,0.99996481208201,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.97778280803917,0.999865232724399,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.69943355918616,0.994087135731977,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.36341619829243,0.899196326920128,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.73341600441678,0.995959385751594,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.41800604242698,0.929606839779407,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.63352604151404,0.988282999191054,"Durbin-Watson test","true autocorrelation is greater than 0"
