"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.59649782564389,0.983298925873764,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.67169816406951,0.9920476127873,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,2.66476910925545,0.991453306962612,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,2.36467778407243,0.899989977654883,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.60390436966469,0.984416262281403,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,3.03421656393991,0.999949530491077,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.69865601049564,0.994036772505508,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,1.73966007285244,0.181138692038737,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,2.71299539541556,0.994908575870553,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.73523919485752,0.996043319526518,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,2.8494972564068,0.999061098480467,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.77516474505882,0.997538407823242,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.27234250519968,0.829812307709719,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.49361826003429,0.959696194092446,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.34636095496493,0.88802810235926,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.29375850956549,0.848305447353371,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.59122313151043,0.98246335987502,"Durbin-Watson test","true autocorrelation is greater than 0"
