"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.93836331646777,0.999745122830576,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.52580511871074,0.968919862669716,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,2.65858067417011,0.990891013852096,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,2.96575253233102,0.999835631482652,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.15643930767158,0.707448310167462,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,2.84360798113502,0.998982517018277,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.79983689827943,0.998190907659676,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,2.6181975833175,0.98639714405587,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,2.42708423226806,0.933916178449148,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.84216446986504,0.99896238580909,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,2.79007301709658,0.997953592886708,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.74561942392872,0.996492953082821,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.31402734357399,0.864567347812277,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.74412148436879,0.996430947073665,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.85972801038313,0.999184851523102,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.70445710303006,0.994403795152716,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.54602657236237,0.97379090692802,"Durbin-Watson test","true autocorrelation is greater than 0"
