"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.23720277972064,0.796578282619307,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.57126190173672,0.978982341523642,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,2.40622425964386,0.923706353823714,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,2.47022476641685,0.951733438028705,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.37235131302869,0.904722179994784,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,2.50348313988491,0.962727028081043,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.82855196668186,0.998754428534831,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,2.08671737652964,0.618790512837157,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,2.56505118366712,0.977790315817892,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.89731232136319,0.999524217766452,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,2.6202865208303,0.98666819031689,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.86837385677039,0.999277866021581,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.16875352039512,0.72209238487991,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.70725943676218,0.994574016275805,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.87262904531426,0.999320065632256,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.39474643364121,0.917614965902212,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.61743713076225,0.98629733583993,"Durbin-Watson test","true autocorrelation is greater than 0"
