"","variable","x_original","fit","upper","lower"
"1...1","week",2,0.0151959416538939,0.0477930781789608,-0.0174011948711729
"2...2","week",3,0.0145493366046254,0.0457593211732521,-0.0166606479640013
"3...3","week",4,0.0139027312711516,0.0437255692433336,-0.0159201067010304
"4...4","week",5,0.0132561252490593,0.04169182242378,-0.0151795719256614
"5...5","week",6,0.0126095180579448,0.0396580803420862,-0.0144390442261967
"6...6","week",7,0.0119629092131035,0.037624342475131,-0.0136985240489241
"7...7","week",8,0.0113162982753442,0.0355906084391077,-0.0129580118884194
"8...8","week",9,0.0106696848771456,0.033556878098808,-0.0122175083445169
"9...9","week",10,0.0100230687288647,0.0315231514731414,-0.0114770140154121
"10...10","week",11,0.00937644961297314,0.0294894285940995,-0.0107365293681533
"11...11","week",12,0.00872982737586705,0.0274557094842041,-0.00999605473247
"12...12","week",13,0.00808320192515756,0.0254219942690967,-0.00925559041878155
"13...13","week",14,0.00743657323608432,0.0233882833048276,-0.008515136832659
"14...14","week",15,0.00678994136527171,0.0213545772161569,-0.00777469448561348
"15...15","week",16,0.0061433064653415,0.0193208768882059,-0.00703426395752288
"16...16","week",17,0.0054966687915647,0.0172871835743077,-0.0062938459911783
"17...17","week",18,0.0048500286926768,0.0152534992699533,-0.0055534418845997
"18...18","week",19,0.00420338658201749,0.0132198274349303,-0.00481305427089528
"19...19","week",20,0.00355674289107141,0.0111861742758552,-0.0040726884937124
"20...20","week",21,0.00291009801338744,0.00915255153292218,-0.0033323555061473
"21...21","week",22,0.00226345225077364,0.00711898421442044,-0.00259207971287317
"22...22","week",23,0.00161680577419077,0.0050855375022006,-0.00185192595381907
"23...23","week",24,0.000970158608526491,0.0030524517054539,-0.00111213448840092
"24...24","week",25,0.000323510644244442,0.00102188429637534,-0.000374863007886455
"25...25","week",26,-0.000323138328428027,0.00037503905974865,-0.0010213157166047
"26...26","week",27,-0.000969788573334389,0.00111231006028164,-0.00305188720695041
"27...27","week",28,-0.00161644036392471,0.00185210274292477,-0.0050849834707742
"28...28","week",29,-0.00226309395307693,0.00259225814922692,-0.00711844605538079
"29...29","week",30,-0.00290974956465779,0.00333253557119819,-0.00915203470051377
"30...30","week",31,-0.00355640740657644,0.004072869587445,-0.0111856844005979
"31...31","week",32,-0.00420306769716425,0.00481323503573284,-0.0132193704300613
"32...32","week",33,-0.00484973069112633,0.00555362004566145,-0.0152530814279141
"33...33","week",34,-0.00549639669001378,0.00629401825118672,-0.0172868116312143
"34...34","week",35,-0.00614306602589323,0.00703442597965955,-0.019320558031446
"35...35","week",36,-0.00678973901484986,0.00777484098684339,-0.0213543190165431
"36...36","week",37,-0.00743641588699331,0.00851526179290353,-0.0233880935668901
"37...37","week",38,-0.00808309670879357,0.00925568739076121,-0.0254218808083484
"38...38","week",39,-0.00872978131895925,0.00999611721731065,-0.0274556798552292
"39...39","week",40,-0.0093764692987064,0.0107365512073397,-0.0294894898047525
"40...40","week",41,-0.010023159990732,0.0114769897438506,-0.0315233097253146
"41...41","week",42,-0.0106698525698439,0.0122174334540531,-0.0335571385937409
"42...42","week",43,-0.0113165461548174,0.0129578829656822,-0.0355909752753171
"43...43","week",44,-0.0119632399391796,0.0136983387732222,-0.0376248186515814
"44...44","week",45,-0.0126099333115539,0.0144388012381624,-0.0396586678612701
"45...45","week",46,-0.0132566259360077,0.0151792706005272,-0.0416925224725426
"46...46","week",47,-0.0139033177697595,0.0159197468773552,-0.0437263824168742
"47...47","week",48,-0.0145500090078099,0.0166602296863749,-0.0457602477019946
"48...48","week",49,-0.0151966999580794,0.017400718203272,-0.0477941181194308
"49...49","week",2,0.0151959416538939,0.0477930781789608,-0.0174011948711729
"50...50","week",3,0.0145493366046254,0.0457593211732521,-0.0166606479640013
"51...51","week",4,0.0139027312711516,0.0437255692433336,-0.0159201067010304
"52...52","week",5,0.0132561252490593,0.04169182242378,-0.0151795719256614
"53...53","week",6,0.0126095180579448,0.0396580803420862,-0.0144390442261967
"54...54","week",7,0.0119629092131035,0.037624342475131,-0.0136985240489241
"55...55","week",8,0.0113162982753442,0.0355906084391077,-0.0129580118884194
"56...56","week",9,0.0106696848771456,0.033556878098808,-0.0122175083445169
"57...57","week",10,0.0100230687288647,0.0315231514731414,-0.0114770140154121
"58...58","week",11,0.00937644961297314,0.0294894285940995,-0.0107365293681533
"59...59","week",12,0.00872982737586705,0.0274557094842041,-0.00999605473247
"60...60","week",13,0.00808320192515756,0.0254219942690967,-0.00925559041878155
"61...61","week",14,0.00743657323608432,0.0233882833048276,-0.008515136832659
"62...62","week",15,0.00678994136527171,0.0213545772161569,-0.00777469448561348
"63...63","week",16,0.0061433064653415,0.0193208768882059,-0.00703426395752288
"64...64","week",17,0.0054966687915647,0.0172871835743077,-0.0062938459911783
"65...65","week",18,0.0048500286926768,0.0152534992699533,-0.0055534418845997
"66...66","week",19,0.00420338658201749,0.0132198274349303,-0.00481305427089528
"67...67","week",20,0.00355674289107141,0.0111861742758552,-0.0040726884937124
"68...68","week",21,0.00291009801338744,0.00915255153292218,-0.0033323555061473
"69...69","week",22,0.00226345225077364,0.00711898421442044,-0.00259207971287317
"70...70","week",23,0.00161680577419077,0.0050855375022006,-0.00185192595381907
"71...71","week",24,0.000970158608526491,0.0030524517054539,-0.00111213448840092
"72...72","week",25,0.000323510644244442,0.00102188429637534,-0.000374863007886455
"73...73","week",26,-0.000323138328428027,0.00037503905974865,-0.0010213157166047
"74...74","week",27,-0.000969788573334389,0.00111231006028164,-0.00305188720695041
"75...75","week",28,-0.00161644036392471,0.00185210274292477,-0.0050849834707742
"76...76","week",29,-0.00226309395307693,0.00259225814922692,-0.00711844605538079
"77...77","week",30,-0.00290974956465779,0.00333253557119819,-0.00915203470051377
"78...78","week",31,-0.00355640740657644,0.004072869587445,-0.0111856844005979
"79...79","week",32,-0.00420306769716425,0.00481323503573284,-0.0132193704300613
"80...80","week",33,-0.00484973069112633,0.00555362004566145,-0.0152530814279141
"81...81","week",34,-0.00549639669001378,0.00629401825118672,-0.0172868116312143
"82...82","week",35,-0.00614306602589323,0.00703442597965955,-0.019320558031446
"83...83","week",36,-0.00678973901484986,0.00777484098684339,-0.0213543190165431
"84...84","week",37,-0.00743641588699331,0.00851526179290353,-0.0233880935668901
"85...85","week",38,-0.00808309670879357,0.00925568739076121,-0.0254218808083484
"86...86","week",39,-0.00872978131895925,0.00999611721731065,-0.0274556798552292
"87...87","week",40,-0.0093764692987064,0.0107365512073397,-0.0294894898047525
"88...88","week",41,-0.010023159990732,0.0114769897438506,-0.0315233097253146
"89...89","week",42,-0.0106698525698439,0.0122174334540531,-0.0335571385937409
"90...90","week",43,-0.0113165461548174,0.0129578829656822,-0.0355909752753171
"91...91","week",44,-0.0119632399391796,0.0136983387732222,-0.0376248186515814
"92...92","week",45,-0.0126099333115539,0.0144388012381624,-0.0396586678612701
"93...93","week",46,-0.0132566259360077,0.0151792706005272,-0.0416925224725426
"94...94","week",47,-0.0139033177697595,0.0159197468773552,-0.0437263824168742
"95...95","week",48,-0.0145500090078099,0.0166602296863749,-0.0457602477019946
"96...96","week",49,-0.0151966999580794,0.017400718203272,-0.0477941181194308
"97...97","week",2,0.0151959416538939,0.0477930781789608,-0.0174011948711729
"98...98","week",3,0.0145493366046254,0.0457593211732521,-0.0166606479640013
"99...99","week",4,0.0139027312711516,0.0437255692433336,-0.0159201067010304
"100...100","week",5,0.0132561252490593,0.04169182242378,-0.0151795719256614
"101...101","week",6,0.0126095180579448,0.0396580803420862,-0.0144390442261967
"102...102","week",7,0.0119629092131035,0.037624342475131,-0.0136985240489241
"103...103","week",8,0.0113162982753442,0.0355906084391077,-0.0129580118884194
"104...104","week",9,0.0106696848771456,0.033556878098808,-0.0122175083445169
"105...105","week",10,0.0100230687288647,0.0315231514731414,-0.0114770140154121
"106...106","week",11,0.00937644961297314,0.0294894285940995,-0.0107365293681533
"107...107","week",12,0.00872982737586705,0.0274557094842041,-0.00999605473247
"108...108","week",13,0.00808320192515756,0.0254219942690967,-0.00925559041878155
"109...109","week",14,0.00743657323608432,0.0233882833048276,-0.008515136832659
"110...110","week",15,0.00678994136527171,0.0213545772161569,-0.00777469448561348
"111...111","week",16,0.0061433064653415,0.0193208768882059,-0.00703426395752288
"112...112","week",17,0.0054966687915647,0.0172871835743077,-0.0062938459911783
"113...113","week",18,0.0048500286926768,0.0152534992699533,-0.0055534418845997
"114...114","week",19,0.00420338658201749,0.0132198274349303,-0.00481305427089528
"115...115","week",20,0.00355674289107141,0.0111861742758552,-0.0040726884937124
"116...116","week",21,0.00291009801338744,0.00915255153292218,-0.0033323555061473
"117...117","week",22,0.00226345225077364,0.00711898421442044,-0.00259207971287317
