"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.09629735418345,0.631466356489724,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.63800038685912,0.988790103786501,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,2.11966719462047,0.661788991532148,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,2.6725243958398,0.992116070863811,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.59998326325164,0.983832735769324,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,2.68603564619963,0.993166308371547,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.69934836295092,0.994081635306062,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,1.83175726785409,0.27850808640465,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,2.37732804895444,0.907704581809808,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.28279219349595,0.839003918874899,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,2.28608897993514,0.841837358117825,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.51649311631712,0.966445046646584,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,1.7874663848905,0.228839297197703,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.4553280616213,0.94605984933485,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.97253101572158,0.999852963416509,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.61504268764222,0.985979062343017,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,1.99070244291277,0.48707767292175,"Durbin-Watson test","true autocorrelation is greater than 0"
