"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.24375165247824,0.803040571900847,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.57498142989271,0.97967076092726,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,2.40602687212821,0.923604486671669,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,2.46524431648354,0.94989052118823,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.37171410979301,0.90433541616931,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,2.5058944880251,0.963439715370064,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.83002984711647,0.998778666150979,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,2.09297882903185,0.627090319286501,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,2.56805345815336,0.978373266839282,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.89618798819702,0.999516275790207,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,2.62111621003938,0.986774583832797,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.8690256666414,0.999284478146492,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.17379172111404,0.727982140795793,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.70508393384208,0.994442264237565,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.872697518563,0.999320726290556,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.39220241800247,0.916218092824508,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.61541579881169,0.986029059169497,"Durbin-Watson test","true autocorrelation is greater than 0"
