"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.85416144002568,0.999119451811681,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.41307507393425,0.927180138389978,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,2.70390125245622,0.994369490738444,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,2.53342080366207,0.970833183017743,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.28575145918922,0.841548740489549,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,2.71983426624384,0.995284078595324,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.49474919727568,0.960053194965356,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,1.79211371410512,0.233813519639089,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,2.27829761552093,0.835089660208622,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.17770546228997,0.73251546752091,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,2.4624644086005,0.948838494809428,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.78940447557912,0.997936385778766,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.09447688946467,0.629067771149564,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.55956291416458,0.976691473340189,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.57226308469292,0.979169496098137,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.70104622973636,0.994190427365878,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.50130589200951,0.962074123808456,"Durbin-Watson test","true autocorrelation is greater than 0"
