"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.62895612555049,0.98774528758448,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.38334310175072,0.911219111225892,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,3.07471312535978,0.999976395863011,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,3.00403955875524,0.99991375267473,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.69538296566157,0.993820710820632,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,2.79717315466064,0.998128699712834,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.7832621618888,0.997772245331019,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,2.43726534623882,0.938510051664406,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,3.09727019069105,0.999984871855044,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.75190547420299,0.996743053435903,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,3.05383731630504,0.999964864711707,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.9776951717484,0.999865035856693,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.69998676315584,0.994122744860339,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.36304915809696,0.898964592294267,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.7330878695535,0.995944116642529,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.41834673085162,0.929772251516188,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.63385078554764,0.988320442463343,"Durbin-Watson test","true autocorrelation is greater than 0"
