"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.70343439957244,0.994340539207422,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.7511032318048,0.996712025813768,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,2.60108540428342,0.983998556356516,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,2.37178857316072,0.904380670936441,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.6614780178657,0.991158061010179,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,3.05260686427714,0.999964045779196,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.73296893652661,0.995938569986776,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,1.85079267706963,0.301310643222226,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,2.70585490347733,0.994489266963363,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.78181290970479,0.997731885723178,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,2.81229243008039,0.998458248403474,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.77380870525654,0.997497214367942,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.46793407002481,0.950892446210331,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.50964637632578,0.964527080923371,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.42459674593202,0.93275560164617,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.36528521902723,0.900370527750818,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.65240948828965,0.990299346028594,"Durbin-Watson test","true autocorrelation is greater than 0"
