"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.90684624979131,0.999587001570182,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.51915379363511,0.96716767926897,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,2.69986947107593,0.994115210331475,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,3.0053500388366,0.999915692925175,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.1701737132166,0.723758706298772,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,2.84434848992208,0.998992708812765,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.85595609369279,0.999141029472786,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,2.6177904532088,0.986343784732052,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,2.44131956393132,0.940270526164255,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.82673162203049,0.998723989155441,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,2.83300225832234,0.998826151843938,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,2.74331192890456,0.996397040973858,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.22489701388012,0.784109159607899,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.78855191318097,0.997914257857418,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.85268286849068,0.999101313214494,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.71849810991728,0.995212655458737,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.5846797345467,0.98137906466544,"Durbin-Watson test","true autocorrelation is greater than 0"
