"","MODZCTA","statistic","p.value","method","alternative"
"1",10001,2.97747145932077,0.999864532120656,"Durbin-Watson test","true autocorrelation is greater than 0"
"2",10002,2.50660635084619,0.963648032070007,"Durbin-Watson test","true autocorrelation is greater than 0"
"3",10005,2.94952043250276,0.999786358930804,"Durbin-Watson test","true autocorrelation is greater than 0"
"4",10025,2.95482701421969,0.999803767960643,"Durbin-Watson test","true autocorrelation is greater than 0"
"5",10029,2.75885810590368,0.997001439497502,"Durbin-Watson test","true autocorrelation is greater than 0"
"6",10302,2.81247815905792,0.998461955367726,"Durbin-Watson test","true autocorrelation is greater than 0"
"7",10304,2.89316237619231,0.999494309759116,"Durbin-Watson test","true autocorrelation is greater than 0"
"8",10453,2.61955204776557,0.986573409921107,"Durbin-Watson test","true autocorrelation is greater than 0"
"9",10473,3.30557175373005,0.999999898056951,"Durbin-Watson test","true autocorrelation is greater than 0"
"10",11101,2.92810806341964,0.999701019812809,"Durbin-Watson test","true autocorrelation is greater than 0"
"11",11206,3.16520714834613,0.999996422236674,"Durbin-Watson test","true autocorrelation is greater than 0"
"12",11220,3.14286679050164,0.999994149130455,"Durbin-Watson test","true autocorrelation is greater than 0"
"13",11226,2.76924516652885,0.997354115269567,"Durbin-Watson test","true autocorrelation is greater than 0"
"14",11234,2.608857382387,0.985128220532204,"Durbin-Watson test","true autocorrelation is greater than 0"
"15",11375,2.76960765237994,0.997365737872082,"Durbin-Watson test","true autocorrelation is greater than 0"
"16",11420,2.53973507460791,0.972346632037782,"Durbin-Watson test","true autocorrelation is greater than 0"
"17",11433,2.63148671576479,0.98804554860452,"Durbin-Watson test","true autocorrelation is greater than 0"
