ZCTA,MODZCTA,ZCTA_str,zip_code,zcta,source,Value,Count
10001,10001,10001,10001.0,10001.0,geonames,10001 Chelsea - Clinton (Manhattan),22.0
10002,10002,10002,10002.0,10002.0,geonames,10002 Union Square - Lower East Side (Manhattan),121.0
10003,10003,10003,10003.0,10003.0,geonames,10003 Union Square - Lower East Side (Manhattan),14.0
10004,10004,10004,10004.0,10004.0,geonames,10004 Lower Manhattan (Manhattan),11.0
10005,10005,10005,10005.0,10005.0,geonames,10005 Lower Manhattan (Manhattan),18.0
10006,10006,10006,10006.0,10006.0,geonames,10006 Lower Manhattan (Manhattan),8.0
10007,10007,10007,10007.0,10007.0,geonames,10007 Lower Manhattan (Manhattan),12.0
10009,10009,10009,10009.0,10009.0,geonames,10009 Union Square - Lower East Side (Manhattan),13.0
10010,10010,10010,10010.0,10010.0,geonames,10010 Gramercy Park - Murray Hill (Manhattan),4.0
10011,10011,10011,10011.0,10011.0,geonames,10011 Chelsea - Clinton (Manhattan),6.0
10012,10012,10012,10012.0,10012.0,geonames,10012 Greenwich Village - SoHo (Manhattan),6.0
10013,10013,10013,10013.0,10013.0,geonames,10013 Greenwich Village - SoHo (Manhattan),2.0
10014,10014,10014,10014.0,10014.0,geonames,10014 Greenwich Village - SoHo (Manhattan),5.0
10016,10016,10016,10016.0,10016.0,geonames,,
10017,10017,10017,10017.0,10017.0,geonames,,
10018,10018,10018,10018.0,10018.0,geonames,10018 Chelsea - Clinton (Manhattan),2.0
10019,10019,10019,10019.0,10019.0,geonames,10019 Chelsea - Clinton (Manhattan),1.0
10020,10019,10020,10020.0,10020.0,geonames,10020 Chelsea - Clinton (Manhattan),1.0
10021,10021,10021,10021.0,10021.0,geonames,10021 Upper East Side (Manhattan),3.0
10022,10022,10022,10022.0,10022.0,geonames,,
10023,10023,10023,10023.0,10023.0,geonames,10023 Upper West Side (Manhattan),3.0
10024,10024,10024,10024.0,10024.0,geonames,10024 Upper West Side (Manhattan),4.0
10025,10025,10025,10025.0,10025.0,geonames,10025 Upper West Side (Manhattan),134.0
10026,10026,10026,10026.0,10026.0,geonames,10026 Central Harlem - Morningside Heights (Manhattan),1.0
10027,10027,10027,10027.0,10027.0,geonames,10027 Central Harlem - Morningside Heights (Manhattan),2.0
10028,10028,10028,10028.0,10028.0,geonames,10028 Upper East Side (Manhattan),1.0
10029,10029,10029,10029.0,10029.0,geonames,10029 East Harlem (Manhattan),108.0
10030,10030,10030,10030.0,10030.0,geonames,10030 Central Harlem - Morningside Heights (Manhattan),2.0
10031,10031,10031,10031.0,10031.0,geonames,,
10032,10032,10032,10032.0,10032.0,geonames,10032 Washington Heights (Manhattan),11.0
10033,10033,10033,10033.0,10033.0,geonames,10033 Washington Heights (Manhattan),1.0
10034,10034,10034,10034.0,10034.0,geonames,,
10035,10035,10035,10035.0,10035.0,geonames,10035 East Harlem (Manhattan),1.0
10036,10036,10036,10036.0,10036.0,geonames,,
10037,10037,10037,10037.0,10037.0,geonames,10037 Central Harlem - Morningside Heights (Manhattan),1.0
10038,10038,10038,10038.0,10038.0,geonames,,
10039,10039,10039,10039.0,10039.0,geonames,10039 Washington Heights (Manhattan),1.0
10040,10040,10040,10040.0,10040.0,geonames,10040 Washington Heights (Manhattan),5.0
10044,10044,10044,10044.0,10044.0,geonames,10044 Upper East Side (Manhattan),1.0
10065,10065,10065,10065.0,10065.0,geonames,10065 Upper East Side (Manhattan),1.0
10069,10069,10069,10069.0,10069.0,geonames,10069 Upper West Side (Manhattan),1.0
10075,10075,10075,10075.0,10075.0,geonames,,
10103,10019,10103,10103.0,10103.0,geonames,10103 Chelsea - Clinton (Manhattan),1.0
10110,10036,10110,10110.0,10110.0,geonames,,
10111,10019,10111,10111.0,10111.0,geonames,10111 Chelsea - Clinton (Manhattan),2.0
10112,10019,10112,10112.0,10112.0,geonames,10112 Chelsea - Clinton (Manhattan),1.0
10115,10027,10115,10115.0,10115.0,geonames,10115 Central Harlem - Morningside Heights (Manhattan),1.0
10119,10001,10119,10119.0,10119.0,geonames,,
10128,10128,10128,10128.0,10128.0,geonames,10128 Upper East Side (Manhattan),1.0
10152,10022,10152,10152.0,10152.0,geonames,10152 Gramercy Park - Murray Hill (Manhattan),1.0
10153,10022,10153,10153.0,10153.0,geonames,,
10154,10022,10154,10154.0,10154.0,geonames,,
10162,10075,10162,10162.0,10162.0,geonames,10162 Upper East Side (Manhattan),1.0
10165,10017,10165,10165.0,10165.0,geonames,,
10167,10017,10167,10167.0,10167.0,geonames,,
10168,10017,10168,10168.0,10168.0,geonames,,
10169,10017,10169,10169.0,10169.0,geonames,10169 Gramercy Park - Murray Hill (Manhattan),1.0
10170,10017,10170,10170.0,10170.0,geonames,10170 Gramercy Park - Murray Hill (Manhattan),1.0
10171,10017,10171,10171.0,10171.0,geonames,,
10172,10017,10172,10172.0,10172.0,geonames,,
10173,10017,10173,10173.0,10173.0,geonames,,
10174,10017,10174,10174.0,10174.0,geonames,,
10177,10017,10177,10177.0,10177.0,geonames,,
