agency_pub_trans_avail,agency_pub_trans_realistic,agency_uber_avail,agency_uber_realistic,agency_delivery_avail,agency_delivery_realistic,agency_grocery_avail,agency_grocery_realistic,agency_pharma_avail,agency_pharma_realistic,agency_docs_avail,agency_docs_realistic,agency_online_avail,agency_online_realistic,agency_IP_safe_avail,agency_IP_safe_realistic,agency_remote_avail,agency_remote_realistic,MODZCTA,modzcta_count,agency_pub_trans_diff,agency_uber_diff,agency_delivery_diff,agency_grocery_diff,agency_pharma_diff,agency_docs_diff,agency_online_diff,agency_IP_safe_diff,agency_remote_diff,agency_pub_trans_group,agency_uber_group,agency_delivery_group,agency_grocery_group,agency_pharma_group,agency_docs_group,agency_online_group,agency_IP_safe_group,agency_remote_group
1,-1,1,-2,1,-1,1,1,1,1,2,2,2,2,2.0,2.0,,,11375,40.0,-2,-3,-2,0,0,0,0,0.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0
1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,,,1.0,1.0,10473,66.0,0,0,0,0,0,0,-2,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1.0,1.0,11694,2.0,0,0,0,0,0,0,0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0
-2,1,1,1,1,-1,1,-1,-1,0,1,-2,-1,-1,,,,,10003,14.0,3,0,-2,-2,1,-3,0,,,3.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0
1,1,1,-1,1,1,1,1,1,-1,1,1,2,1,,,2.0,1.0,10453,73.0,0,-2,0,0,-2,0,-1,,-1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0
2,2,2,1,2,1,1,1,2,2,1,1,2,1,,,2.0,2.0,11226,92.0,0,-1,-1,0,0,0,-1,,0.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0
2,1,2,1,2,1,1,2,2,1,2,2,1,1,,,,,10002,121.0,-1,-1,-1,1,-1,0,0,,,1.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,4.0
1,-2,1,2,1,-2,2,2,1,2,2,2,2,2,,,2.0,2.0,11226,92.0,-3,1,-3,0,1,0,0,,0.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0
1,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,,,,,11206,75.0,0,-2,-2,0,2,0,0,,,2.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0
0,-2,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,,,,,10006,8.0,-2,1,1,1,1,1,1,,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
