MODZCTA,score_mean,score_median,score_std,gain_bias_mean,gain_bias_median,gain_bias_std,loss_bias_mean,loss_bias_median,loss_bias_std,loss_aversion_scores_mean,loss_aversion_scores_median,loss_aversion_scores_std,rescale_avail_mean,rescale_avail_median,rescale_avail_std,rescale_realistic_mean,rescale_realistic_median,rescale_realistic_std,agency_mean,agency_median,agency_std,regulated_tdscores_mean,regulated_tdscores_median,regulated_tdscores_std,regulated_agency_mean,regulated_agency_median,regulated_agency_std,regulated_loss_mean,regulated_loss_median,regulated_loss_std,modzcta_count
10001,9.363636363636363,9.5,3.016548872398241,1.9545454545454546,2.0,1.0900971004051374,1.6363636363636365,2.0,1.0486024506776148,3.590909090909091,3.5,1.5934117606447613,4.845598845598846,5.166666666666666,6.958339290975035,5.474747474747475,4.0,6.328727193840617,10.320346320346319,8.944444444444445,12.484265384029516,58.52272727272727,59.375,18.853430452489008,66.12554112554113,63.97569444444444,19.506664662546115,59.84848484848485,58.333333333333336,26.55686267741269,22.0
10002,10.446280991735538,11.0,2.4012164043221254,1.859504132231405,2.0,1.09776883665587,1.3057851239669422,1.0,1.160768245650351,3.165289256198347,3.0,1.1131569778338886,9.920766102584283,11.0,5.546897068274518,8.563820018365472,9.0,5.249593400362121,18.484586120949757,20.57142857142857,9.802695367047901,65.2892561983471,68.75,15.007602527013278,78.882165813984,82.14285714285714,15.316711511012347,52.75482093663911,50.0,18.552616297231467,121.0
10003,11.0,11.0,3.902661813527945,1.7857142857142858,2.0,1.05090228108783,1.6428571428571428,2.0,1.0818177620697813,3.4285714285714284,3.0,1.3424596091494903,3.4126984126984126,5.0,6.46833599204905,3.7392290249433104,5.666666666666666,6.582283904123902,7.1519274376417235,10.333333333333332,12.417017560891793,68.75,68.75,24.39163633454966,61.17488662131519,66.14583333333333,19.401589938893427,57.142857142857146,50.0,22.37432681915817,14.0
10004,10.818181818181818,11.0,3.2501748204729486,1.5454545454545454,2.0,1.0357254813546264,1.6363636363636365,1.0,1.026910636104941,3.1818181818181817,3.0,1.1677484162422844,4.402597402597403,6.0,7.934378357867017,4.3896103896103895,6.0,4.264275381222661,8.792207792207792,11.428571428571429,11.376374307894451,67.61363636363636,68.75,20.31359262795593,63.737824675324674,67.85714285714286,17.77558485608508,53.03030303030303,50.0,19.46247360403807,11.0
10005,11.105263157894736,11.0,3.510218999848953,1.6842105263157894,2.0,1.0568628408301075,2.0,2.0,1.0,3.6842105263157894,4.0,1.3764944032233706,4.926482873851295,6.0,5.912849827083235,4.959899749373434,6.0,7.008853472481338,9.886382623224728,10.0,12.426689660429632,69.40789473684211,68.75,21.938868749055953,65.44747284878864,65.625,19.416702594421302,61.40350877192983,66.66666666666667,22.941573387056174,19.0
10006,9.25,9.5,1.7525491637693282,0.5,0.5,0.5345224838248488,1.875,2.0,0.991031208965115,2.375,2.5,1.1877349391654206,4.785714285714286,7.5,12.028876820011932,5.357142857142858,8.0,9.501879513323365,10.142857142857142,16.0,21.432380613816797,57.8125,59.375,10.9534322735583,65.84821428571429,75.0,33.48809470908875,39.583333333333336,41.66666666666667,19.79558231942368,8.0
10007,9.923076923076923,10.0,2.5645512427953308,1.0,1.0,0.816496580927726,1.7692307692307692,2.0,0.7250110520819842,2.769230769230769,3.0,0.7250110520819842,5.1660561660561655,4.571428571428571,5.579621402680862,5.688644688644688,5.333333333333333,7.266330043395517,10.854700854700855,8.88888888888889,12.505978827395017,62.01923076923077,62.5,16.02844526747082,66.96047008547008,63.888888888888886,19.540591917804715,46.15384615384615,50.0,12.08351753469974,13.0
10009,10.23076923076923,11.0,3.0042704647952427,2.0,2.0,1.1547005383792515,1.4615384615384615,1.0,1.126601424298216,3.4615384615384617,3.0,1.6132464481796023,2.498168498168498,4.444444444444445,7.680491163058358,0.5433455433455434,-2.2857142857142856,9.104993415229979,3.041514041514042,1.7777777777777781,16.559393421119484,63.94230769230769,68.75,18.77669040497027,54.75236568986569,52.77777777777778,25.8740522204992,57.69230769230769,50.0,26.88744080299337,13.0
10010,10.0,9.5,3.162277660168379,2.0,2.5,1.4142135623730951,2.0,2.5,1.4142135623730951,4.0,4.0,1.1547005383792515,3.111111111111111,3.5,7.961326274521269,-0.9444444444444444,-1.0,6.3020670722165475,2.166666666666667,2.5,14.043582955293932,62.5,59.375,19.764235376052373,53.38541666666667,53.90625,21.943098367646773,66.66666666666666,66.66666666666666,19.245008972987527,4.0
10011,9.666666666666666,11.0,2.422120283277993,1.5,1.5,1.6431676725154984,1.1666666666666667,0.5,1.4719601443879746,2.6666666666666665,3.0,2.065591117977289,7.761904761904762,6.785714285714286,6.9485964911828715,8.119047619047619,8.357142857142858,6.7843858348757395,15.88095238095238,16.642857142857142,13.42809016361511,60.416666666666664,68.75,15.138251770487457,74.81398809523809,76.00446428571428,20.98139088064861,44.44444444444445,50.0,34.42651863295482,6.0
10012,10.5,10.5,2.6645825188948455,1.1666666666666667,1.0,0.752772652709081,2.1666666666666665,2.5,0.9831920802501751,3.3333333333333335,3.0,1.0327955589886444,5.555555555555556,8.0,6.116563224476009,9.277777777777777,10.0,4.343151271020036,14.833333333333334,18.0,8.45255458499652,65.625,65.625,16.653640743092783,73.17708333333333,78.125,13.20711653905706,55.555555555555564,50.0,17.21325931647741,6.0
10013,13.0,13.0,4.242640687119285,2.0,2.0,0.0,1.5,1.5,0.7071067811865476,3.5,3.5,0.7071067811865476,11.5,11.5,0.7071067811865476,9.5,9.5,2.1213203435596424,21.0,21.0,1.4142135623730951,81.25,81.25,26.516504294495533,82.8125,82.8125,2.209708691207961,58.333333333333336,58.333333333333336,11.785113019775796,2.0
10014,7.6,8.0,5.683308895353129,2.6,3.0,0.5477225575051661,2.0,2.0,1.0,4.6,4.0,1.3416407864998738,4.203174603174603,10.285714285714286,9.3087247116411,4.571428571428571,8.0,11.436328936836519,8.774603174603175,20.0,20.478941614123244,47.5,50.0,35.52068059595705,63.71031746031747,81.25,31.99834627206757,76.66666666666667,66.66666666666667,22.360679774997894,5.0
10017,10.5,10.5,0.7071067811865476,0.5,0.5,0.7071067811865476,1.0,1.0,1.4142135623730951,1.5,1.5,0.7071067811865476,6.111111111111111,6.111111111111111,11.470843339248436,2.8888888888888893,2.8888888888888893,9.742360096347989,9.0,9.0,21.213203435596427,65.625,65.625,4.419417382415922,64.0625,64.0625,33.14563036811941,25.0,25.0,11.785113019775794,2.0
10018,14.0,14.0,1.4142135623730951,2.0,2.0,0.0,1.5,1.5,2.1213203435596424,3.5,3.5,2.1213203435596424,8.928571428571429,8.928571428571429,8.38426611978335,8.285714285714285,8.285714285714285,6.060915267313264,17.214285714285715,17.214285714285715,14.445181387096616,87.5,87.5,8.838834764831844,76.89732142857143,76.89732142857143,22.570595917338462,58.33333333333333,58.33333333333333,35.35533905932737,2.0
10019,8.0,6.5,2.898275349237888,1.5,1.0,0.8366600265340756,1.6666666666666667,1.5,0.816496580927726,3.1666666666666665,3.5,0.9831920802501751,5.0396825396825395,6.111111111111111,7.539637426765621,3.67989417989418,4.333333333333333,6.251602297340946,8.71957671957672,10.444444444444445,13.566839163361585,50.0,40.625,18.1142209327368,63.62433862433863,66.31944444444444,21.19818619275248,52.77777777777778,58.333333333333336,16.38653467083625,6.0
10021,11.333333333333334,10.0,2.3094010767585034,1.6666666666666667,2.0,0.5773502691896258,1.0,1.0,0.0,2.6666666666666665,3.0,0.5773502691896257,-3.185185185185185,-7.0,6.607453080725717,-3.2592592592592595,-2.0,2.3761503603474727,-6.444444444444444,-9.0,8.139979069952162,70.83333333333333,62.5,14.433756729740644,39.93055555555555,35.9375,12.718717296800252,44.44444444444445,50.0,9.62250448649376,3.0
10022,11.0,11.0,,2.0,2.0,,3.0,3.0,,5.0,5.0,,16.0,16.0,,16.0,16.0,,32.0,32.0,,68.75,68.75,,100.0,100.0,,83.33333333333333,83.33333333333333,,1.0
10023,11.0,11.0,2.0,2.3333333333333335,2.0,0.5773502691896257,1.3333333333333333,1.0,0.5773502691896258,3.6666666666666665,3.0,1.1547005383792517,4.402116402116403,6.857142857142857,6.937022488875894,-2.835978835978836,-4.571428571428571,4.0362845762510435,1.5661375661375665,2.2857142857142856,10.367951342959255,68.75,68.75,12.5,52.44708994708995,53.57142857142857,16.199923973373835,61.11111111111111,50.0,19.245008972987524,3.0
10024,10.5,9.5,3.872983346207417,1.75,1.5,0.9574271077563382,2.0,2.0,0.816496580927726,3.75,3.0,1.5,-4.964285714285714,-7.928571428571429,8.153606105092814,-5.0,-8.0,7.393691004272944,-9.964285714285715,-16.92857142857143,15.43358604574104,65.625,59.375,24.206145913796355,34.43080357142857,23.549107142857142,24.114978196470375,62.5,50.0,25.0,4.0
10025,10.440298507462687,11.0,3.0373890499984335,2.0970149253731343,2.0,0.8484342322137288,1.5223880597014925,2.0,1.0810494616357635,3.6194029850746268,4.0,1.2553331410540454,7.692489931295902,8.0,4.9704120877096205,6.64321250888415,7.0,5.13544303438687,14.335702440180052,14.0,9.24118346722624,65.2518656716418,68.75,18.98368156249021,72.39953506278133,71.875,14.439349167540994,60.32338308457711,66.66666666666667,20.922219017567425,134.0
10026,16.0,16.0,,2.0,2.0,,3.0,3.0,,5.0,5.0,,2.0,2.0,,-8.0,-8.0,,-6.0,-6.0,,100.0,100.0,,40.625,40.625,,83.33333333333333,83.33333333333333,,1.0
10027,9.333333333333334,9.0,2.5166114784235836,2.3333333333333335,3.0,1.1547005383792515,1.3333333333333333,1.0,0.5773502691896258,3.6666666666666665,4.0,1.5275252316519468,2.9523809523809526,2.0,10.318730080595698,3.5714285714285716,5.0,12.063606933454768,6.523809523809523,7.0,22.289529587941075,58.333333333333336,56.25,15.728821740147396,60.19345238095238,60.9375,34.82738998115793,61.111111111111114,66.66666666666667,25.458753860865777,3.0
10028,11.0,11.0,,3.0,3.0,,3.0,3.0,,6.0,6.0,,1.7777777777777777,1.7777777777777777,,1.7777777777777777,1.7777777777777777,,3.5555555555555554,3.5555555555555554,,68.75,68.75,,55.55555555555556,55.55555555555556,,100.0,100.0,,1.0
10029,11.398148148148149,11.0,3.063013648902176,1.75,2.0,1.1117469624025131,1.8240740740740742,2.0,1.075024048448278,3.574074074074074,3.0,1.4022925401974893,7.668577307466196,8.0,5.86481050652351,6.0895061728395055,6.222222222222222,6.899732666127353,13.758083480305702,13.857142857142858,12.187089235203665,71.23842592592592,68.75,19.143835305638603,71.49700543797766,71.65178571428572,19.042326930005725,59.5679012345679,50.0,23.371542336624827,108.0
10030,13.0,13.0,0.0,2.5,2.5,0.7071067811865476,2.0,2.0,0.0,4.5,4.5,0.7071067811865476,5.0,5.0,4.242640687119285,6.0,6.0,2.8284271247461903,11.0,11.0,7.0710678118654755,81.25,81.25,0.0,67.1875,67.1875,11.048543456039805,75.0,75.0,11.785113019775785,2.0
