ResponseId,zipcode_long,expectation in 1 year,home internet,financial situation 2020,financial situation now,financial situation change,credit debt situation,age,gender,gender_des,education,employment,race,race_des,destination,zipcode,expectation_num,internet_num,financial_2020_num,financial_now_num,financial_change_num,credit_debt_num,age_num,gender_num,education_num,employment_num,race_num
R_3CKphd7v4L4nZVw,10034 Washington Heights (Manhattan),Things will be somewhat better,,,I can pay off my bills and save a small amount,There were no major impacts on my financial situation,I pay off any balances every month,1988.0,Man,,Doctoral degree,Employed full-time (25+ hours per week),Asian,,10032 Washington Heights (Manhattan),10034,4,,,5,3,6,36.0,-1,7,6,1.0
R_zczgBPG9N3bxntn,10034 Washington Heights (Manhattan),Things will be about the same,,,I can pay off my bills and save a small amount,My financial situation became somewhat worse,I pay off any balances every month,1988.0,Man,,Doctoral degree,Employed full-time (25+ hours per week),"Asian,Immigrant",,10032 Washington Heights (Manhattan),10034,3,,,5,2,6,36.0,-1,7,6,1.0
R_26a3XAqQyCoTWSv,10025 Upper West Side (Manhattan),Things will be about the same,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",There were no major impacts on my financial situation,I pay off any balances every month,1988.0,Man,,Doctoral degree,Employed full-time (25+ hours per week),Asian,,10032 Washington Heights (Manhattan),10025,3,6.0,6.0,6,3,6,36.0,-1,7,6,1.0
R_25ylc9Zk4J7fjQB,11436 Jamaica (Queens),Things will be much better,I always had access through my provider,I paid off my bills but was not able to save,I have to take on a lot of debt to pay my bills,There were no major impacts on my financial situation,I never purchase anything on credit or take on debt,2001.0,Prefer not to answer,,Graduate (Masters or equivalent),Click to write Choice 7,"Black or African-American,Pacific Islander,Immigrant",,10009 Union Square - Lower East Side (Manhattan),11436,5,6.0,4.0,3,3,5,23.0,0,5,0,5.0
R_3QFf6ZOqZOmtYEv,10001 Chelsea - Clinton (Manhattan),Things will be much worse,I always had access through my provider,I was unable to pay all of my bills,I am unable to pay all of my bills,My financial situation became much worse,My debts increase beyond what I earn in a given month,2002.0,Man,,Primary school,Employed full-time (25+ hours per week),Arab/Middle Eastern,,10001 Chelsea - Clinton (Manhattan),10001,1,6.0,1.0,1,1,1,22.0,-1,1,6,1.0
R_3qCqhAXSRjN4vhV,10014 Greenwich Village - SoHo (Manhattan),Things will be about the same,I had to use a hotspot to access the internet,I had to take on some debt to pay my bills,I have to take on some debt to pay my bills,There were no major impacts on my financial situation,My debts increase beyond what I earn in a given month,1997.0,Woman,,College or university (Bachelor or equivalent),Not in paid employment (by choice),White,,,10014,3,5.0,3.0,2,3,1,27.0,1,4,3,3.0
R_3KBbU5hptLMCoA4,10013 Greenwich Village - SoHo (Manhattan),Things will be somewhat worse,I only had internet access on my phone,I paid off my bills and saved a small amount,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,1994.0,Woman,,College or university (Bachelor or equivalent),Not in paid employment (unable to work due to health/personal reasons),Hispanic,,,10013,2,3.0,5.0,4,2,2,30.0,1,4,2,4.0
R_10T8ei4ZStQ3amq,10012 Greenwich Village - SoHo (Manhattan),Things will be somewhat better,I only had internet access on my phone,I had to take on some debt to pay my bills,I can pay off my bills and save a small amount,My financial situation became much better,I make the minimum payment and the interest is charged,1996.0,Woman,,Vocational school,Employed part-time (less than 25 hours per week),"Hispanic,Immigrant",,10009 Union Square - Lower East Side (Manhattan),10012,4,3.0,3.0,5,5,2,28.0,1,3,5,4.0
R_0qSdw7DniJSW4qR,10018 Chelsea - Clinton (Manhattan),Things will be much better,I usually had access but there were some extended outages,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,I pay off any balances every month,1971.0,Man,,Doctoral degree,Employed full-time (25+ hours per week),White,,10006 Lower Manhattan (Manhattan),10018,5,4.0,6.0,6,5,6,53.0,-1,7,6,3.0
R_3hGzVfxA3AkocFb,10002 Union Square - Lower East Side (Manhattan),Things will be about the same,I had to find public spaces to access internet,I had to take on some debt to pay my bills,I have to take on some debt to pay my bills,There were no major impacts on my financial situation,I generally pay off the interest but not the balance,1985.0,Man,,College or university (Bachelor or equivalent),Employed part-time (less than 25 hours per week),White,,10011 Chelsea - Clinton (Manhattan),10002,3,2.0,3.0,2,3,3,39.0,-1,4,5,3.0
R_2fJbvtAFvztWXYO,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I usually had access but there were some extended outages,I had to take on some debt to pay my bills,I have to take on a lot of debt to pay my bills,My financial situation became somewhat better,I generally pay off the interest but not the balance,1990.0,Man,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,4.0,3.0,3,4,3,34.0,-1,5,6,3.0
R_1CdpUkNDE2g6PIY,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,I had to take on a lot of debt to pay my bills,I have to take on a lot of debt to pay my bills,My financial situation became much better,My debts increase beyond what I earn in a given month,2002.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,2.0,3,5,1,22.0,1,5,6,3.0
R_1rwDCNriljtLP8m,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,I was unable to pay all of my bills,I am unable to pay all of my bills,My financial situation became much better,My debts increase beyond what I earn in a given month,1985.0,Man,,Doctoral degree,Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,1.0,1,5,1,39.0,-1,7,6,3.0
R_2tncSn6qSA4p9dL,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,I pay off any balances every month,1990.0,Man,,MBA,Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,6.0,6,5,6,34.0,-1,6,6,3.0
R_xsc8lfOSGu0KPyF,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I had to use a hotspot to access the internet,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,There were no major impacts on my financial situation,I generally pay off the interest but not the balance,1987.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,5.0,4.0,4,3,3,37.0,1,5,6,3.0
R_z72uXT6GUcfMPEl,10004 Lower Manhattan (Manhattan),Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely",I have to take on a lot of debt to pay my bills,My financial situation became much better,I never purchase anything on credit or take on debt,1983.0,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),"Asian,White",,10004 Lower Manhattan (Manhattan),10004,5,6.0,6.0,3,5,5,41.0,-1,4,6,5.0
R_3rZkqqPScmzK8Bl,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,My debts increase beyond what I earn in a given month,1977.0,Man,,Doctoral degree,Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,6.0,6,5,1,47.0,-1,7,6,3.0
R_1gqLzgIKYGiTvUE,10003 Union Square - Lower East Side (Manhattan),Things will be much better,I had to use a hotspot to access the internet,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,My financial situation became somewhat better,I pay off any balances every month,1985.0,Man,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),Native American,,10003 Union Square - Lower East Side (Manhattan),10003,5,5.0,5.0,5,4,6,39.0,-1,5,6,
R_25F0SjKzmPxCsWD,10002 Union Square - Lower East Side (Manhattan),Things will be somewhat better,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,My financial situation became somewhat better,I make the minimum payment and the interest is charged,1985.0,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,4,6.0,4.0,5,4,2,39.0,-1,4,6,3.0
R_8k9EmMegYsu9Rzr,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,I pay off any balances every month,1983.0,Man,,Doctoral degree,Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,6.0,6,5,6,41.0,-1,7,6,3.0
R_2RVzIZPjmwuGYYY,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,My financial situation became much better,I pay off any balances every month,1986.0,Man,,Doctoral degree,Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,5.0,5,5,6,38.0,-1,7,6,3.0
R_1CwQI9YjRM4zFAF,10002 Union Square - Lower East Side (Manhattan),Things will be about the same,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,There were no major impacts on my financial situation,I make the minimum payment and the interest is charged,1998.0,Woman,,College or university (Bachelor or equivalent),Full-time student,Hispanic,,10002 Union Square - Lower East Side (Manhattan),10002,3,6.0,4.0,4,3,2,26.0,1,4,4,4.0
R_2SrB5mifRxPmhsf,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I only had internet access on my phone,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,My financial situation became somewhat better,I generally pay off the interest but not the balance,1981.0,Man,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,3.0,5.0,5,4,3,43.0,-1,5,6,3.0
R_21dl9pe3yJwOwqA,10002 Union Square - Lower East Side (Manhattan),Things will be about the same,I always had access through my provider,I paid off my bills but was not able to save,I have to take on some debt to pay my bills,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,1985.0,Woman,,College or university (Bachelor or equivalent),Employed part-time (less than 25 hours per week),Asian,,10002 Union Square - Lower East Side (Manhattan),10002,3,6.0,4.0,2,2,2,39.0,1,4,5,1.0
R_2SiYJcPMq8oeQhN,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely",I am unable to pay all of my bills,My financial situation became much better,My debts increase beyond what I earn in a given month,1971.0,Woman,,Primary school,Employed full-time (25+ hours per week),Black or African-American,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,6.0,1,5,1,53.0,1,1,6,2.0
R_2bWac1uvr7y7FiJ,10002 Union Square - Lower East Side (Manhattan),Things will be much worse,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,My financial situation became somewhat worse,My debts increase beyond what I earn in a given month,1987.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,1,6.0,4.0,4,2,1,37.0,1,5,6,3.0
R_2DU23rin1S1VzIH,10001 Chelsea - Clinton (Manhattan),Things will be much better,I usually had access but there were some extended outages,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,I pay off any balances every month,1990.0,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),White,,10001 Chelsea - Clinton (Manhattan),10001,5,4.0,6.0,6,5,6,34.0,-1,4,6,3.0
R_2e2NBFV40quAK7V,10002 Union Square - Lower East Side (Manhattan),Things will be somewhat better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely",I can pay off my bills and save a small amount,There were no major impacts on my financial situation,I pay off any balances every month,1975.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Asian,,10002 Union Square - Lower East Side (Manhattan),10002,4,6.0,6.0,5,3,6,49.0,1,4,6,1.0
R_31yFoUlvK8Gwx8M,10002 Union Square - Lower East Side (Manhattan),Things will be about the same,I usually had access but there were some extended outages,I was unable to pay all of my bills,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,1986.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,3,4.0,1.0,4,2,2,38.0,1,5,6,3.0
R_1opqS5hEVQL2YjG,10014 Greenwich Village - SoHo (Manhattan),Things will be about the same,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,There were no major impacts on my financial situation,I generally pay off the interest but not the balance,2002.0,Woman,,Secondary school (high school),Full-time student,Black or African-American,,10002 Union Square - Lower East Side (Manhattan),10014,3,6.0,4.0,4,3,3,22.0,1,2,4,2.0
R_3fZBI8NfNoiBeZa,10002 Union Square - Lower East Side (Manhattan),Things will be about the same,I usually had access but there were some extended outages,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,My financial situation became somewhat worse,I pay off any balances every month,1962.0,Woman,,College or university (Bachelor or equivalent),Not in paid employment (looking for work),Hispanic,,,10002,3,4.0,4.0,5,2,6,62.0,1,4,1,4.0
R_e3Rsa5AEsMYwBSp,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became somewhat better,I pay off any balances every month,1987.0,Man,,Doctoral degree,Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,6.0,6,4,6,37.0,-1,7,6,3.0
R_1rCEBx1rk0ItD7X,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,I had to take on a lot of debt to pay my bills,I have to take on a lot of debt to pay my bills,My financial situation became much better,My debts increase beyond what I earn in a given month,1983.0,Man,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,2.0,3,5,1,41.0,-1,5,6,3.0
R_2feORDa9ikrsTen,10007 Lower Manhattan (Manhattan),Things will be much better,I only had internet access on my phone,I had to take on a lot of debt to pay my bills,I am unable to pay all of my bills,My financial situation became somewhat better,I pay off much of the balance,1990.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10007,5,3.0,2.0,1,4,4,34.0,1,5,6,3.0
R_0GLmoIGHCDqBj2x,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,My debts increase beyond what I earn in a given month,1987.0,Woman,,MBA,Employed full-time (25+ hours per week),White,,Outside New York City (nowhere in the five boroughs),10002,5,6.0,6.0,6,5,1,37.0,1,6,6,3.0
R_6nuw3AVEtEUexb3,10002 Union Square - Lower East Side (Manhattan),Things will be much worse,I always had access through my provider,I was unable to pay all of my bills,I am unable to pay all of my bills,My financial situation became much worse,My debts increase beyond what I earn in a given month,1987.0,Woman,,Graduate (Masters or equivalent),Full-time student,White,,10002 Union Square - Lower East Side (Manhattan),10002,1,6.0,1.0,1,1,1,37.0,1,5,4,3.0
R_1nNOCTSnJ32h0G7,10001 Chelsea - Clinton (Manhattan),Things will be much better,I only had internet access on my phone,I paid off my bills and saved a small amount,"All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became somewhat better,I never purchase anything on credit or take on debt,1995.0,Man,,College or university (Bachelor or equivalent),Not in paid employment (looking for work),Native American,,,10001,5,3.0,5.0,6,4,5,29.0,-1,4,1,
R_2QYQAKaxMQW6v9O,10002 Union Square - Lower East Side (Manhattan),Things will be somewhat better,I always had access through my provider,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,My financial situation became somewhat better,I pay off any balances every month,1975.0,Man,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,4,6.0,5.0,5,4,6,49.0,-1,5,6,3.0
R_Rh06tI1mGK8ZLih,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,I had to take on a lot of debt to pay my bills,"All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much worse,My debts increase beyond what I earn in a given month,1987.0,Woman,,MBA,Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,2.0,6,1,1,37.0,1,6,6,3.0
R_27lYY6dh2sghbYA,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,My debts increase beyond what I earn in a given month,1990.0,Man,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,Outside New York City (nowhere in the five boroughs),10002,5,6.0,6.0,6,5,1,34.0,-1,5,6,3.0
R_3huRhxWlESwXyJj,10011 Chelsea - Clinton (Manhattan),Things will be about the same,I usually had access but there were some extended outages,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,My financial situation became somewhat better,I make the minimum payment and the interest is charged,1997.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),Black or African-American,,"I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",10011,3,4.0,4.0,5,4,2,27.0,1,5,6,2.0
R_9ppzNADuerHN1xT,11234 Canarsie - Flatlands (Brooklyn),Things will be somewhat better,I usually had access but there were some extended outages,I paid off my bills and saved a small amount,I can pay off my bills but am not able to save,There were no major impacts on my financial situation,I make the minimum payment and the interest is charged,2002.0,Woman,,Vocational school,Full-time student,Black or African-American,,11229 Coney Island - Sheepshead Bay (Brooklyn),11234,4,4.0,5.0,4,3,2,22.0,1,3,4,2.0
R_1Lp3lD2rdEQzjaI,11234 Canarsie - Flatlands (Brooklyn),Things will be about the same,I always had access through my provider,I was unable to pay all of my bills,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I generally pay off the interest but not the balance,1975.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Other,mixed,11234 Canarsie - Flatlands (Brooklyn),11234,3,6.0,1.0,4,2,3,49.0,1,4,6,0.0
R_2rO46kuRMPUV9KM,11234 Canarsie - Flatlands (Brooklyn),Things will be about the same,I usually had access but there were some extended outages,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,My financial situation became much worse,I pay off any balances every month,1995.0,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),White,,11234 Canarsie - Flatlands (Brooklyn),11234,3,4.0,4.0,5,1,6,29.0,-1,4,6,3.0
R_333UnygoY9ZTfrm,11234 Canarsie - Flatlands (Brooklyn),Things will be somewhat better,I always had access through my provider,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,My financial situation became somewhat better,I pay off any balances every month,1974.0,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),White,,11234 Canarsie - Flatlands (Brooklyn),11234,4,6.0,5.0,5,4,6,50.0,-1,4,6,3.0
R_3EJNGC5AhHFyWU4,11234 Canarsie - Flatlands (Brooklyn),Things will be somewhat worse,I had to find public spaces to access internet,I paid off my bills but was not able to save,I have to take on some debt to pay my bills,There were no major impacts on my financial situation,I make the minimum payment and the interest is charged,1988.0,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),White,,11234 Canarsie - Flatlands (Brooklyn),11234,2,2.0,4.0,2,3,2,36.0,-1,4,6,3.0
R_33kz2NBIrySq4B0,11234 Canarsie - Flatlands (Brooklyn),Things will be about the same,I usually had access but there were some extended outages,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,My financial situation became much better,I generally pay off the interest but not the balance,1984.0,Man,,College or university (Bachelor or equivalent),Full-time student,White,,11234 Canarsie - Flatlands (Brooklyn),11234,3,4.0,4.0,5,5,3,40.0,-1,4,4,3.0
R_3Jgaa3m3GYOHUyS,11234 Canarsie - Flatlands (Brooklyn),Things will be somewhat better,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,There were no major impacts on my financial situation,I never purchase anything on credit or take on debt,1944.0,Man,,Vocational school,Not in paid employment (unable to work due to health/personal reasons),White,,,11234,4,6.0,4.0,4,3,5,80.0,-1,3,2,3.0
R_3ManUcvTA4jpag9,11209 Bensonhurst - Bay Ridge (Brooklyn),Things will be somewhat worse,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,My financial situation became somewhat worse,I pay off any balances every month,1999.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Asian,,10038 Lower Manhattan (Manhattan),11209,2,6.0,4.0,5,2,6,25.0,1,4,6,1.0
R_31A7BM2Kt8QlAnZ,11234 Canarsie - Flatlands (Brooklyn),Things will be about the same,I had to find public spaces to access internet,I had to take on some debt to pay my bills,I have to take on a lot of debt to pay my bills,There were no major impacts on my financial situation,I generally pay off the interest but not the balance,2000.0,Woman,,College or university (Bachelor or equivalent),Full-time student,White,,11234 Canarsie - Flatlands (Brooklyn),11234,3,2.0,3.0,3,3,3,24.0,1,4,4,3.0
R_3qVwuUdZ00Z8hur,11234 Canarsie - Flatlands (Brooklyn),Things will be somewhat worse,I always had access through my provider,I paid off my bills but was not able to save,I have to take on some debt to pay my bills,My financial situation became somewhat worse,I pay off much of the balance,2000.0,Man,,Secondary school (high school),Not in paid employment (looking for work),Hispanic,,,11234,2,6.0,4.0,2,2,4,24.0,-1,2,1,4.0
R_W1IKBABCUxbWo9P,11234 Canarsie - Flatlands (Brooklyn),Things will be much better,I always had access through my provider,I was unable to pay all of my bills,I can pay off my bills but am not able to save,My financial situation became somewhat better,I make the minimum payment and the interest is charged,2000.0,Woman,,Secondary school (high school),Employed full-time (25+ hours per week),Black or African-American,,11236 Canarsie - Flatlands (Brooklyn),11234,5,6.0,1.0,4,4,2,24.0,1,2,6,2.0
R_2tul0RenZWd2kKN,11234 Canarsie - Flatlands (Brooklyn),Things will be much better,I always had access through my provider,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,There were no major impacts on my financial situation,I make the minimum payment and the interest is charged,1985.0,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),White,,11234 Canarsie - Flatlands (Brooklyn),11234,5,6.0,5.0,5,3,2,39.0,-1,4,6,3.0
R_3F42PywbJ0ks9B6,11234 Canarsie - Flatlands (Brooklyn),Things will be somewhat better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,I never purchase anything on credit or take on debt,1998.0,Woman,,Secondary school (high school),Employed part-time (less than 25 hours per week),Black or African-American,,11234 Canarsie - Flatlands (Brooklyn),11234,4,6.0,6.0,6,5,5,26.0,1,2,5,2.0
