ResponseId,zipcode,alloc_debt,alloc_spend,alloc_save,alloc_invest,Age,Risk_preference,score,presbias,absolmag,gainloss,loss_gain_1,loss_loss_1,loss_gain_2,loss_loss_2,loss_gain_3,loss_loss_3,gain_bias,loss_bias,loss_aversion_scores,total_avail,total_realistic,num_items,rescale_avail,rescale_realistic,agency,agency_pub_trans_avail,agency_pub_trans_realistic,agency_uber_avail,agency_uber_realistic,agency_delivery_avail,agency_delivery_realistic,agency_grocery_avail,agency_grocery_realistic,agency_pharma_avail,agency_pharma_realistic,agency_docs_avail,agency_docs_realistic,agency_online_avail,agency_online_realistic,agency_IP_safe_avail,agency_IP_safe_realistic,agency_remote_avail,agency_remote_realistic,regulated_agency,regulated_tdscores,regulated_loss,zipcode_5,ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,expectation_num,internet_num,financial_2020_num,financial_now_num,financial_change_num,credit_debt_num,age_num,gender_num,education_num,employment_num,race_num,destination,financials,alloc_debt_scaled,alloc_spend_scaled,alloc_save_scaled,alloc_invest_scaled,age_num_scaled,expectation_num_scaled,financial_2020_num_scaled,financial_now_num_scaled,financial_change_num_scaled,credit_debt_num_scaled,education_num_scaled,employment_num_scaled,financials_scaled
R_02o2D09NfVJOHD3,11375 Ridgewood - Forest Hills (Queens),0,300,500,200,51,0,10,0,1,1,1,1,0,0,1,1,2,2,4,11.0,4.0,16,11.0,4.0,15.0,1,-1,1,-2,1,-1,1,1,1,1,2,2,2,2,2.0,2.0,,,73.4375,62.5,66.66666666666667,11375.0,11375,11375,11375,11375.0,11375 Ridgewood - Forest Hills (Queens),40.0,40.0,131,3.0,6.0,6.0,6.0,3.0,6.0,52.0,1.0,5.0,5.0,3.0,11224 Coney Island - Sheepshead Bay (Brooklyn),15.0,0.0,30.0,50.0,20.0,44.776119402985074,50.0,100.0,100.0,50.0,100.0,66.66666666666667,83.33333333333333,85.71428571428571
R_03dOZigqC0YU0kF,10473 Pelham - Throgs Neck (Bronx),300,0,200,500,49,0,10,0,1,1,1,1,0,1,1,1,2,3,5,6.0,4.0,16,6.0,4.0,10.0,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,,,1.0,1.0,65.625,62.5,83.33333333333333,10473.0,10473,10473,10473,10473.0,10473 Pelham - Throgs Neck (Bronx),66.0,66.0,14,3.0,6.0,3.0,4.0,1.0,3.0,50.0,1.0,4.0,6.0,4.0,10023 Upper West Side (Manhattan),8.0,30.0,0.0,20.0,50.0,41.791044776119406,50.0,40.0,60.0,0.0,40.0,50.0,100.0,35.714285714285715
R_0cy5qgo5k6XgQ7f,11694 Rockaways (Queens),0,500,250,250,37,0,6,1,0,0,1,1,0,1,1,1,2,3,5,8.0,8.0,16,8.0,8.0,16.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1.0,1.0,75.0,37.5,83.33333333333333,11694.0,11694,11694,11694,11694.0,11694 Rockaways (Queens),2.0,2.0,163,5.0,6.0,5.0,5.0,3.0,6.0,38.0,1.0,4.0,6.0,3.0,10005 Lower Manhattan (Manhattan),13.0,0.0,50.0,25.0,25.0,23.880597014925375,100.0,80.0,80.0,50.0,100.0,50.0,100.0,71.42857142857143
R_0dLmGExTPQ2mAEh,10003 Union Square - Lower East Side (Manhattan),300,500,200,0,34,3,11,0,0,1,0,1,0,0,1,1,1,2,3,0.0,-3.0,14,0.0,-3.4285714285714284,-3.4285714285714284,-2,1,1,1,1,-1,1,-1,-1,0,1,-2,-1,-1,,,,,44.642857142857146,68.75,50.0,10003.0,10003,10003,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97,2.0,6.0,2.0,1.0,3.0,4.0,35.0,1.0,4.0,4.0,3.0,10002 Union Square - Lower East Side (Manhattan),6.0,30.0,50.0,20.0,0.0,19.402985074626866,25.0,20.0,0.0,50.0,60.0,50.0,66.66666666666667,21.428571428571427
R_0fDoGV7JgZ3uktb,10453 Crotona -Tremont (Bronx),800,20,110,70,27,0,16,0,0,0,1,1,1,1,1,1,3,3,6,10.0,4.0,16,10.0,4.0,14.0,1,1,1,-1,1,1,1,1,1,-1,1,1,2,1,,,2.0,1.0,71.875,100.0,100.0,10453.0,10453,10453,10453,10453.0,10453 Crotona -Tremont (Bronx),73.0,73.0,15,4.0,6.0,4.0,4.0,2.0,4.0,28.0,-1.0,5.0,4.0,4.0,10470 Fordham - Bronx Pk (Bronx),10.0,80.0,2.0,11.0,7.0,8.955223880597014,75.0,60.0,60.0,25.0,60.0,66.66666666666667,66.66666666666667,50.0
R_0fF6nFXyIQNBQSR,11226 East Flatbush - Flatbush (Brooklyn),500,0,500,0,40,0,10,0,1,1,1,1,1,1,1,0,3,2,5,14.0,11.0,16,14.0,11.0,25.0,2,2,2,1,2,1,1,1,2,2,1,1,2,1,,,2.0,2.0,89.0625,62.5,83.33333333333333,11226.0,11226,11226,11226,11226.0,11226 East Flatbush - Flatbush (Brooklyn),92.0,92.0,48,4.0,6.0,5.0,4.0,3.0,6.0,41.0,1.0,4.0,6.0,5.0,11210 East Flatbush - Flatbush (Brooklyn),12.0,50.0,0.0,50.0,0.0,28.35820895522388,75.0,80.0,60.0,50.0,100.0,50.0,100.0,64.28571428571429
R_0GLmoIGHCDqBj2x,10002 Union Square - Lower East Side (Manhattan),100,200,400,300,36,4,11,0,0,1,1,0,1,0,1,0,3,0,3,12.0,9.0,14,13.714285714285714,10.285714285714286,24.0,2,1,2,1,2,1,1,2,2,1,2,2,1,1,,,,,87.5,68.75,50.0,10002.0,10002,10002,10002,10002.0,10002 Union Square - Lower East Side (Manhattan),121.0,121.0,96,5.0,6.0,6.0,6.0,5.0,1.0,37.0,1.0,6.0,6.0,3.0,Outside New York City (nowhere in the five boroughs),17.0,10.0,20.0,40.0,30.0,22.388059701492537,100.0,100.0,100.0,100.0,0.0,83.33333333333333,100.0,100.0
R_0ka3d96ZDGJDKOl,11226 East Flatbush - Flatbush (Brooklyn),450,300,100,150,34,0,12,0,0,0,1,1,1,0,1,0,3,1,4,12.0,8.0,16,12.0,8.0,20.0,1,-2,1,2,1,-2,2,2,1,2,2,2,2,2,,,2.0,2.0,81.25,75.0,66.66666666666667,11226.0,11226,11226,11226,11226.0,11226 East Flatbush - Flatbush (Brooklyn),92.0,92.0,48,5.0,6.0,6.0,5.0,5.0,5.0,35.0,1.0,4.0,6.0,3.0,11226 East Flatbush - Flatbush (Brooklyn),16.0,45.0,30.0,10.0,15.0,19.402985074626866,100.0,100.0,80.0,100.0,80.0,50.0,100.0,92.85714285714286
R_0NbBQ1E3QJhwFgd,11206 Williamsburg - Bushwick (Brooklyn),500,300,200,0,30,0,7,0,0,1,0,0,0,0,0,0,0,0,0,5.0,3.0,14,5.714285714285714,3.4285714285714284,9.142857142857142,1,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,,,,,64.28571428571428,43.75,0.0,11206.0,11206,11206,11206,11206.0,11206 Williamsburg - Bushwick (Brooklyn),75.0,75.0,59,3.0,6.0,5.0,5.0,3.0,2.0,31.0,1.0,2.0,6.0,4.0,10021 Upper East Side (Manhattan),13.0,50.0,30.0,20.0,0.0,13.432835820895523,50.0,80.0,80.0,50.0,20.0,16.666666666666668,100.0,71.42857142857143
R_0oclVB8OG7HxJiF,10006 Lower Manhattan (Manhattan),250,250,250,250,21,0,8,0,0,1,1,1,0,1,0,0,1,2,3,-12.0,-8.0,14,-13.714285714285714,-9.142857142857142,-22.857142857142854,0,-2,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,,,,,14.28571428571429,50.0,50.0,10006.0,10006,10006,10006,10006.0,10006 Lower Manhattan (Manhattan),8.0,8.0,101,1.0,1.0,1.0,1.0,1.0,1.0,22.0,-1.0,1.0,3.0,1.0,,3.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
