,Unnamed: 0,ResponseId,zipcode,loss_gain_1,loss_loss_1,loss_gain_2,loss_loss_2,loss_gain_3,loss_loss_3,alloc_debt,alloc_spend,alloc_save,alloc_invest,Age,Risk_preference,amount_later17,question,delay_sooner,delay_later,amount_sooner,amount_later,question_num,block,choice,choice_text,score,presbias,absolmag,gainloss
0,1,R_02o2D09NfVJOHD3,11375 Ridgewood - Forest Hills (Queens),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",0,300,500,200,51,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,1,1
10,11,R_0cy5qgo5k6XgQ7f,11694 Rockaways (Queens),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",0,500,250,250,37,0,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,6,1,0,0
17,18,R_0dLmGExTPQ2mAEh,10003 Union Square - Lower East Side (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",300,500,200,0,34,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
27,28,R_0fDoGV7JgZ3uktb,10453 Crotona -Tremont (Bronx),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",800,20,110,70,27,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
37,38,R_0GLmoIGHCDqBj2x,10002 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",100,200,400,300,36,4,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
47,48,R_0ka3d96ZDGJDKOl,11226 East Flatbush - Flatbush (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",450,300,100,150,34,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,12,0,0,0
57,58,R_0oclVB8OG7HxJiF,10006 Lower Manhattan (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",250,250,250,250,21,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,8,0,0,1
66,67,R_0OPLZoCVgslBvR7,10301 Stapleton - St. George (Staten Island),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",500,200,100,200,37,0,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,9,0,0,0
75,76,R_0SZFpfpC6O5HFjb,11217 Downtown - Heights - Slope (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",600,100,200,100,27,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,0,0
85,86,R_0uZgT1R6o8dxHFv,10009 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",1,800,60,139,32,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
95,96,R_0wvGeSIZj1tFudX,11220 Sunset Park (Brooklyn),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",600,50,300,50,31,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
105,106,R_10C1pfKQPbC7CSZ,11217 Downtown - Heights - Slope (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",600,100,200,100,27,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
115,116,R_10CK8olh0NSRAPc,11101 Long Island City - Astoria (Queens),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",750,250,0,0,23,2,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,9,0,1,1
