ResponseId,MODZCTA,modzcta_count,mask_march2020,mask_spring2020,mask_summer2020,mask_fall2020,mask_winter2020,indoor_march2020,indoor_spring2020,indoor_summer2020,indoor_fall2020,indoor_winter2020,mask_march2020_num,mask_spring2020_num,mask_summer2020_num,mask_fall2020_num,mask_winter2020_num,mask_march2020_num_avg,mask_spring2020_num_avg,mask_summer2020_num_avg,mask_fall2020_num_avg,mask_winter2020_num_avg,mask_averages,mask_color,indoor_march2020_num,indoor_spring2020_num,indoor_summer2020_num,indoor_fall2020_num,indoor_winter2020_num,indoor_averages,indoor_color
R_02o2D09NfVJOHD3,11375,40.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Never,Never,Never,"Rarely, when it could not be avoided","Rarely, when it could not be avoided",[1],[1],[1],[1],[1],1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",green,0,0,0,1,1,"[0, 0, 0, 1, 1]",blue
R_03dOZigqC0YU0kF,10473,66.0,Only in places that forced it,I never left home in this period,I never wore a mask when I left home,I never wore a mask when I left home,I never left home in this period,Never,Never,Never,Never,Once or twice a month,[5],[0],[6],[6],[0],5.0,0.0,6.0,6.0,0.0,"[5.0, 0.0, 6.0, 6.0, 0.0]",red,0,0,0,0,2,"[0, 0, 0, 0, 2]",blue
R_0cy5qgo5k6XgQ7f,11694,2.0,Indoors,Indoors,Indoors,Indoors,Indoors,Never,Never,Never,Never,Never,[3],[3],[3],[3],[3],3.0,3.0,3.0,3.0,3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]",green,0,0,0,0,0,"[0, 0, 0, 0, 0]",green
R_0dLmGExTPQ2mAEh,10003,14.0,Only in places that forced it,When places were crowded,Indoors,When places were crowded,Indoors,"Rarely, when it could not be avoided",Never,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",[5],[2],[3],[2],[3],5.0,2.0,3.0,2.0,3.0,"[5.0, 2.0, 3.0, 2.0, 3.0]",red,1,0,1,1,1,"[1, 0, 1, 1, 1]",orange
R_0fDoGV7JgZ3uktb,10453,73.0,When most people were masking,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",Once or twice a month,"Rarely, when it could not be avoided",[4],[1],[1],[1],[1],4.0,1.0,1.0,1.0,1.0,"[4.0, 1.0, 1.0, 1.0, 1.0]",red,1,1,1,2,1,"[1, 1, 1, 2, 1]",orange
R_0fF6nFXyIQNBQSR,11226,92.0,I never wore a mask when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,"Rarely, when it could not be avoided",Never,Never,Never,Never,[6],[1],[1],[1],[1],6.0,1.0,1.0,1.0,1.0,"[6.0, 1.0, 1.0, 1.0, 1.0]",red,1,0,0,0,0,"[1, 0, 0, 0, 0]",red
R_0GLmoIGHCDqBj2x,10002,121.0,When places were crowded,Only in places that forced it,When most people were masking,When places were crowded,I always wore it when I left home,Weekly,Multiple times each week,Once or twice a month,Weekly,Weekly,[2],[5],[4],[2],[1],2.0,5.0,4.0,2.0,1.0,"[2.0, 5.0, 4.0, 2.0, 1.0]",red,3,4,2,3,3,"[3, 4, 2, 3, 3]",orange
R_0ka3d96ZDGJDKOl,11226,92.0,I always wore it when I left home,I never left home in this period,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Never,Never,Never,"Rarely, when it could not be avoided","Rarely, when it could not be avoided",[1],[0],[1],[1],[1],1.0,0.0,1.0,1.0,1.0,"[1.0, 0.0, 1.0, 1.0, 1.0]",orange,0,0,0,1,1,"[0, 0, 0, 1, 1]",blue
R_0NbBQ1E3QJhwFgd,11206,75.0,I never wore a mask when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Once or twice a month,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",[6],[1],[1],[1],[1],6.0,1.0,1.0,1.0,1.0,"[6.0, 1.0, 1.0, 1.0, 1.0]",red,2,1,1,1,1,"[2, 1, 1, 1, 1]",red
R_0oclVB8OG7HxJiF,10006,8.0,I never left home in this period,I never wore a mask when I left home,Only in places that forced it,When most people were masking,Indoors,"Rarely, when it could not be avoided",Once or twice a month,Weekly,Multiple times each week,The same as before the pandemic,[0],[6],[5],[4],[3],0.0,6.0,5.0,4.0,3.0,"[0.0, 6.0, 5.0, 4.0, 3.0]",blue,1,2,3,4,5,"[1, 2, 3, 4, 5]",blue
