CASE_COUNT,DEATH_COUNT,week,borough_case_count,id,borough_death_count,borough,CASE_COUNT_log,DEATH_COUNT_log,borough_case_count_log,borough_death_count_log,MODZCTA,MODIFIED_ZCTA,mod_idx,POP_DENOMINATOR,Glocery&Pharmacies_visits_weekly,Retails_visits_weekly,Arts&Entertainment_visits_weekly,Restaurants&Bars_visits_weekly,Educations_visits_weekly,Healthcares_visits_weekly,others_visits_weekly,zipcode,Age_mean,Age_median,Age_std,Risk_preference_mean,Risk_preference_median,Risk_preference_std,score_mean,score_median,score_std,loss_aversion_scores_mean,loss_aversion_scores_median,loss_aversion_scores_std,agency_mean,agency_median,agency_std,regulated_scores_mean,regulated_scores_median,regulated_scores_std,regulated_agency_mean,regulated_agency_median,regulated_agency_std,regulated_loss_mean,regulated_loss_median,regulated_loss_std,zip_char,AREA,POPULATION,HOUSEHOLD_SIZE,HOUSEHOLD_INCOME,BLACK,HISPANIC,AGE65_PLUS,BACHELOR_S,NO_HEALTH_INSURANCE,RESTAURANT_COUNT,GROCERY_COUNT,EDUCATION_COUNT,ENTERTAINMENT_COUNT,HEALTHCARE_COUNT,RETAIL_COUNT,EstimatedAverageAge,no_vehicles,vehicle_owned,public_transportation,household_num,Date,StringencyIndex_WeightedAverage
1.0,0.1,0,0.1,51,0.1,BK,0.0,-2.3025850929940455,-2.3025850929940455,-2.3025850929940455,11206,11206,59,86709.93,2306.6872591955716,5620.275406882268,4373.890291898423,10853.84037967993,1967.2982502508753,2456.217289517643,2949.543412077568,11206 Williamsburg - Bushwick (Brooklyn),34.08474576271186,32.0,11.500057174660304,0.7288135593220338,0.0,1.1865700856202457,10.779661016949152,11.0,3.337704128383242,3.76271186440678,4.0,1.3175078754046827,11.529997309658327,12.444444444444445,9.262824353545776,67.37288135593221,68.75,20.86065080239526,68.01562079634114,69.44444444444444,14.473163052415272,62.71186440677966,66.66666666666667,21.95846459007804,11206,40700720.97,86849.0,2.76,43065.0,19698.0,32979.0,8505.0,11489.0,0.086065695,391,81.0,63.0,69.0,136.0,315.0,34.113807632695064,18327.0,8367.0,19884.0,26694.0,2020-03-01,14.682857142857143
1.0,0.1,0,0.1,51,0.1,BK,0.0,-2.3025850929940455,-2.3025850929940455,-2.3025850929940455,11220,11220,39,94590.76,2096.1893068966783,5561.376276929734,3764.9802768655463,11947.289175674803,1845.6991647896143,2271.7148922365977,3039.8631970810484,11220 Sunset Park (Brooklyn),31.458333333333332,27.0,10.594977399659276,1.0,0.0,1.443989744762311,9.166666666666666,10.0,3.3791181862006625,3.8333333333333335,4.0,1.2937383295118945,10.514550264550264,11.714285714285715,11.362068618231053,57.291666666666664,62.5,21.119488663754144,66.42898478835978,68.30357142857143,17.753232215986017,63.888888888888886,66.66666666666667,21.5623054918649,11220,47453785.79,90410.0,3.25,55119.0,2877.0,36498.0,11525.0,9147.0,0.078993569,601,141.0,58.0,48.0,346.0,379.0,37.360114369488514,13207.0,7241.0,17606.0,20448.0,2020-03-01,14.682857142857143
1.0,0.1,0,0.1,51,0.1,BK,0.0,-2.3025850929940455,-2.3025850929940455,-2.3025850929940455,11226,11226,48,97355.08,3553.4129975127207,8046.171356253893,6121.739475390889,17136.348442317103,3693.352214261358,5068.005289827228,5933.399549862167,11226 East Flatbush - Flatbush (Brooklyn),33.74193548387097,30.0,11.487606270752623,0.9838709677419356,0.0,1.3243239597209029,11.080645161290322,11.0,3.290813776962825,3.6774193548387095,3.0,1.198006452654933,9.259600614439323,11.0,11.067569828785354,69.25403225806451,68.75,20.56758610601766,64.46812596006144,67.1875,17.293077857477115,61.29032258064516,50.0,19.966774210915545,11226,39408598.28,95389.0,2.54,60896.0,64136.0,15360.0,11284.0,13601.0,0.063365489,380,122.0,52.0,36.0,242.0,314.0,37.27231372225033,23404.0,10554.0,31049.0,33958.0,2020-03-01,14.682857142857143
1.0,0.1,0,0.1,51,0.1,BK,0.0,-2.3025850929940455,-2.3025850929940455,-2.3025850929940455,11234,11234,49,94056.07,4297.818463318492,12106.313376340277,9268.75719428443,19491.898313890553,7032.616290986201,6906.3278424377895,10062.08875173338,11234 Canarsie - Flatlands (Brooklyn),41.2,39.0,16.58882723971737,0.76,0.0,1.25029726195143,10.48,11.0,3.1337741687206075,3.933333333333333,4.0,1.297954037970792,9.928677248677248,12.0,9.0910547059012,65.5,68.75,19.5860885545038,65.5135582010582,68.75,14.204772977970626,65.55555555555556,66.66666666666667,21.632567299513205,11234,206201040.1,90178.0,2.8,84116.0,40921.0,9795.0,17015.0,13641.0,0.130640693,259,46.0,40.0,89.0,351.0,373.0,40.954868572591664,8312.0,24361.0,17915.0,32673.0,2020-03-01,14.682857142857143
45.0,0.1,1,12.0,52,0.1,BK,3.8066624897703196,-2.3025850929940455,2.4849066497880004,-2.3025850929940455,11206,11206,59,86709.93,1903.291006308856,4716.520433674481,5100.830261836977,9336.877202071531,1667.632299401776,1914.6237478104135,2798.585069168986,11206 Williamsburg - Bushwick (Brooklyn),34.08474576271186,32.0,11.500057174660304,0.7288135593220338,0.0,1.1865700856202457,10.779661016949152,11.0,3.337704128383242,3.76271186440678,4.0,1.3175078754046827,11.529997309658327,12.444444444444445,9.262824353545776,67.37288135593221,68.75,20.86065080239526,68.01562079634114,69.44444444444444,14.473163052415272,62.71186440677966,66.66666666666667,21.95846459007804,11206,40700720.97,86849.0,2.76,43065.0,19698.0,32979.0,8505.0,11489.0,0.086065695,391,81.0,63.0,69.0,136.0,315.0,34.113807632695064,18327.0,8367.0,19884.0,26694.0,2020-03-08,19.44
45.0,0.1,1,12.0,52,0.1,BK,3.8066624897703196,-2.3025850929940455,2.4849066497880004,-2.3025850929940455,11220,11220,39,94590.76,1904.8211293936483,4885.5442415742,4673.151331712635,10697.859050678566,1899.4660291487828,1855.718747910802,2522.56589162901,11220 Sunset Park (Brooklyn),31.458333333333332,27.0,10.594977399659276,1.0,0.0,1.443989744762311,9.166666666666666,10.0,3.3791181862006625,3.8333333333333335,4.0,1.2937383295118945,10.514550264550264,11.714285714285715,11.362068618231053,57.291666666666664,62.5,21.119488663754144,66.42898478835978,68.30357142857143,17.753232215986017,63.888888888888886,66.66666666666667,21.5623054918649,11220,47453785.79,90410.0,3.25,55119.0,2877.0,36498.0,11525.0,9147.0,0.078993569,601,141.0,58.0,48.0,346.0,379.0,37.360114369488514,13207.0,7241.0,17606.0,20448.0,2020-03-08,19.44
45.0,0.1,1,12.0,52,0.1,BK,3.8066624897703196,-2.3025850929940455,2.4849066497880004,-2.3025850929940455,11226,11226,48,97355.08,3087.63539029582,7211.646205032359,7111.699412368093,14906.18291126047,3622.2526412846937,4002.091175286073,4888.344095155343,11226 East Flatbush - Flatbush (Brooklyn),33.74193548387097,30.0,11.487606270752623,0.9838709677419356,0.0,1.3243239597209029,11.080645161290322,11.0,3.290813776962825,3.6774193548387095,3.0,1.198006452654933,9.259600614439323,11.0,11.067569828785354,69.25403225806451,68.75,20.56758610601766,64.46812596006144,67.1875,17.293077857477115,61.29032258064516,50.0,19.966774210915545,11226,39408598.28,95389.0,2.54,60896.0,64136.0,15360.0,11284.0,13601.0,0.063365489,380,122.0,52.0,36.0,242.0,314.0,37.27231372225033,23404.0,10554.0,31049.0,33958.0,2020-03-08,19.44
45.0,0.1,1,12.0,52,0.1,BK,3.8066624897703196,-2.3025850929940455,2.4849066497880004,-2.3025850929940455,11234,11234,49,94056.07,4438.592514569251,11830.2130957702,11334.558198291748,19092.489096450154,7275.601087345261,6268.609587663225,9742.454066460592,11234 Canarsie - Flatlands (Brooklyn),41.2,39.0,16.58882723971737,0.76,0.0,1.25029726195143,10.48,11.0,3.1337741687206075,3.933333333333333,4.0,1.297954037970792,9.928677248677248,12.0,9.0910547059012,65.5,68.75,19.5860885545038,65.5135582010582,68.75,14.204772977970626,65.55555555555556,66.66666666666667,21.632567299513205,11234,206201040.1,90178.0,2.8,84116.0,40921.0,9795.0,17015.0,13641.0,0.130640693,259,46.0,40.0,89.0,351.0,373.0,40.954868572591664,8312.0,24361.0,17915.0,32673.0,2020-03-08,19.44
2931.0,8.0,2,915.0,53,1.0,BK,7.983098940710892,2.0794415416798357,6.818924065275521,0.0,11206,11206,59,86709.93,1987.970996652887,3993.06121636088,3987.312050241857,8329.611379989423,1380.865413259906,1659.8571565170014,2292.7752955395404,11206 Williamsburg - Bushwick (Brooklyn),34.08474576271186,32.0,11.500057174660304,0.7288135593220338,0.0,1.1865700856202457,10.779661016949152,11.0,3.337704128383242,3.76271186440678,4.0,1.3175078754046827,11.529997309658327,12.444444444444445,9.262824353545776,67.37288135593221,68.75,20.86065080239526,68.01562079634114,69.44444444444444,14.473163052415272,62.71186440677966,66.66666666666667,21.95846459007804,11206,40700720.97,86849.0,2.76,43065.0,19698.0,32979.0,8505.0,11489.0,0.086065695,391,81.0,63.0,69.0,136.0,315.0,34.113807632695064,18327.0,8367.0,19884.0,26694.0,2020-03-15,44.18142857142857
2931.0,8.0,2,915.0,53,1.0,BK,7.983098940710892,2.0794415416798357,6.818924065275521,0.0,11220,11220,39,94590.76,1804.3084481098856,4655.271532727632,3654.297048166,9270.23415345712,1542.6619052990957,1875.499543254708,2182.637870272659,11220 Sunset Park (Brooklyn),31.458333333333332,27.0,10.594977399659276,1.0,0.0,1.443989744762311,9.166666666666666,10.0,3.3791181862006625,3.8333333333333335,4.0,1.2937383295118945,10.514550264550264,11.714285714285715,11.362068618231053,57.291666666666664,62.5,21.119488663754144,66.42898478835978,68.30357142857143,17.753232215986017,63.888888888888886,66.66666666666667,21.5623054918649,11220,47453785.79,90410.0,3.25,55119.0,2877.0,36498.0,11525.0,9147.0,0.078993569,601,141.0,58.0,48.0,346.0,379.0,37.360114369488514,13207.0,7241.0,17606.0,20448.0,2020-03-15,44.18142857142857
