"Value","Count","zip_code"
"10025 Upper West Side (Manhattan)",134,"10025"
"10002 Union Square - Lower East Side (Manhattan)",121,"10002"
"10029 East Harlem (Manhattan)",108,"10029"
"11234 Canarsie - Flatlands (Brooklyn)",99,"11234"
"11226 East Flatbush - Flatbush (Brooklyn)",92,"11226"
"11206 Williamsburg - Bushwick (Brooklyn)",75,"11206"
"10453 Crotona -Tremont (Bronx)",73,"10453"
"10473 Pelham - Throgs Neck (Bronx)",66,"10473"
"11220 Sunset Park (Brooklyn)",57,"11220"
"11375 Ridgewood - Forest Hills (Queens)",40,"11375"
"11433 Jamaica (Queens)",38,"11433"
"10304 Stapleton - St. George (Staten Island)",33,"10304"
"11101 Long Island City - Astoria (Queens)",33,"11101"
"10001 Chelsea - Clinton (Manhattan)",22,"10001"
"11420 Southwest Queens (Queens)",20,"11420"
"10302 Port Richmond (Staten Island)",19,"10302"
"10005 Lower Manhattan (Manhattan)",18,"10005"
"10003 Union Square - Lower East Side (Manhattan)",14,"10003"
"10009 Union Square - Lower East Side (Manhattan)",13,"10009"
"10007 Lower Manhattan (Manhattan)",12,"10007"
"10004 Lower Manhattan (Manhattan)",11,"10004"
"10032 Washington Heights (Manhattan)",11,"10032"
"10006 Lower Manhattan (Manhattan)",8,"10006"
"10011 Chelsea - Clinton (Manhattan)",6,"10011"
"10012 Greenwich Village - SoHo (Manhattan)",6,"10012"
"11203 East Flatbush - Flatbush (Brooklyn)",6,"11203"
"11207 East New York (Brooklyn)",6,"11207"
"11209 Bensonhurst - Bay Ridge (Brooklyn)",6,"11209"
"11236 Canarsie - Flatlands (Brooklyn)",6,"11236"
"10014 Greenwich Village - SoHo (Manhattan)",5,"10014"
"10040 Washington Heights (Manhattan)",5,"10040"
"10467 Fordham - Bronx Pk (Bronx)",5,"10467"
"10010 Gramercy Park - Murray Hill (Manhattan)",4,"10010"
"10024 Upper West Side (Manhattan)",4,"10024"
"10452 High Bridge - Morrisania (Bronx)",4,"10452"
"11217 Downtown - Heights - Slope (Brooklyn)",4,"11217"
"11225 East Flatbush - Flatbush (Brooklyn)",4,"11225"
"11692 Rockaways (Queens)",4,"11692"
"10021 Upper East Side (Manhattan)",3,"10021"
"10023 Upper West Side (Manhattan)",3,"10023"
"10455 Hunts Point - Mott Haven (Bronx)",3,"10455"
"10456 High Bridge - Morrisania (Bronx)",3,"10456"
"10457 Crotona -Tremont (Bronx)",3,"10457"
"10475 Northeast Bronx (Bronx)",3,"10475"
"11208 East New York (Brooklyn)",3,"11208"
"11210 East Flatbush - Flatbush (Brooklyn)",3,"11210"
"11216 Bedford Stuyvesant - Crown Heights (Brooklyn)",3,"11216"
"11221 Williamsburg - Bushwick (Brooklyn)",3,"11221"
"11238 Bedford Stuyvesant - Crown Heights (Brooklyn)",3,"11238"
"11412 Jamaica (Queens)",3,"11412"
"11435 Jamaica (Queens)",3,"11435"
"10013 Greenwich Village - SoHo (Manhattan)",2,"10013"
"10018 Chelsea - Clinton (Manhattan)",2,"10018"
"10027 Central Harlem - Morningside Heights (Manhattan)",2,"10027"
"10030 Central Harlem - Morningside Heights (Manhattan)",2,"10030"
"10111 Chelsea - Clinton (Manhattan)",2,"10111"
"10310 Port Richmond (Staten Island)",2,"10310"
"10312 South Beach - Tottenville (Staten Island)",2,"10312"
"10458 Fordham - Bronx Pk (Bronx)",2,"10458"
"10462 Pelham - Throgs Neck (Bronx)",2,"10462"
"10463 Kingsbridge - Riverdale (Bronx)",2,"10463"
"10466 Northeast Bronx (Bronx)",2,"10466"
"10468 Fordham - Bronx Pk (Bronx)",2,"10468"
"10469 Northeast Bronx (Bronx)",2,"10469"
